,LocYear,fam1: A,fam1: B,fam1: G,fam1: H,fam1: N,fam4,fam5,fam7,fam8,fam15,fam16
0,AK1990,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.2428094933240598
1,AK1991,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24143136278880103
2,AK1992,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.2405818302670662
3,AK1993,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24203547480425694
4,AK1994,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24152575529121603
5,AK1995,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24292276432695778
6,AK1996,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24367790434627765
7,AK1997,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24362126884482865
8,AK1998,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24358351184386265
9,AK1999,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.24316818483323674
10,AK2000,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.5253243938426178,-0.34808257842381,-2.347832543506823,0.6993643991817066,-0.34195968485962874,-0.24243192331439986
11,AK2001,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.7529777181953905,-0.34808257842381,-0.030721730665128844,1.6393986254914577,-0.34195968485962874,-0.2444330443655975
12,AK2002,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-1.4359376912537074,-0.34808257842381,-0.8030920016123608,0.6993643991817066,-0.21337362261517193,-0.24420650235980154
13,AK2003,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.5253243938426178,-0.34808257842381,-0.030721730665128844,2.579432851801207,-0.21337362261517193,-0.24452743686801248
14,AK2004,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.5253243938426178,-0.34808257842381,2.286389082176565,0.6993643991817066,-0.21337362261517193,-0.24411210985738657
15,AK2005,-1.5189992273212898,-1.4325521542399746,-0.22184805960488713,2.5141631060720218,-0.3853604325896709,-0.5253243938426178,0.5245682677650952,1.514018811229333,1.6393986254914577,-0.21337362261517193,-0.24477285737429144
16,AK2006,-1.5189992273212898,-1.0721426270633214,-1.2612149530293566,2.5141631060720218,-0.3853604325896709,-0.5253243938426178,-0.34808257842381,0.741648540282102,0.6993643991817066,-0.08478756037071494,-0.24358351184386265
17,AK2007,-0.2376128280923193,-2.1533712085932804,-1.2612149530293566,3.495849892540044,-1.3789112831037225,-0.5253243938426178,-0.34808257842381,0.741648540282102,0.6993643991817066,0.04379850187374205,-0.24328145583613472
18,AK2008,-0.8783060277068045,-1.0721426270633214,-0.914759321887867,3.005006499306033,-1.71009489994174,-0.07001774513707237,-0.34808257842381,2.286389082176565,0.6993643991817066,0.04379850187374205,-0.24294164282744077
19,AK2009,-0.8783060277068045,-0.7117330998866691,-1.6076705841708463,3.250428195923038,-1.3789112831037225,-0.5253243938426178,0.5245682677650952,1.514018811229333,-0.2406698271280431,0.30097062636265565,-0.24348911934144768
20,AK2010,0.4030803715221669,-1.4325521542399746,-1.2612149530293566,2.268741409455019,-0.3853604325896709,-0.07001774513707237,-0.34808257842381,1.514018811229333,-0.2406698271280431,0.04379850187374205,-0.24632089441389718
21,AK2011,-0.8783060277068045,-1.4325521542399746,-1.6076705841708463,3.250428195923038,-1.0477276662657053,0.6129422279212445,-0.34808257842381,4.603499895018259,-1.1807040534377935,0.30097062636265565,-0.24775566045060493
22,AK2012,1.0437735711366523,-1.4325521542399746,-1.2612149530293566,2.7595848026890275,-1.3789112831037225,0.15763557921570034,0.5245682677650952,0.741648540282102,-0.2406698271280431,0.5581427508515693,-0.2489450059810337
23,AK2013,-0.2376128280923193,-1.0721426270633214,-1.2612149530293566,2.5141631060720218,-0.7165440494276883,-0.5253243938426178,1.3972191139540004,2.286389082176565,-0.2406698271280431,-0.08478756037071494,-0.25100276253368037
24,AK2014,-0.2376128280923193,-1.0721426270633214,-0.914759321887867,2.268741409455019,-1.0477276662657053,-0.29767106948984506,-0.34808257842381,3.0587593531237958,0.6993643991817066,0.17238456411819866,-0.25219210806410913
25,AK2015,-0.2376128280923193,-1.0721426270633214,-0.5683036907463768,2.0233197128380134,-1.0477276662657053,0.38528890356847306,0.5245682677650952,1.514018811229333,-0.2406698271280431,-0.08478756037071494,-0.25187117355589816
26,AK2016,-1.5189992273212898,-0.7117330998866691,-0.22184805960488713,2.7595848026890275,-1.71009489994174,0.15763557921570034,0.5245682677650952,3.0587593531237958,0.6993643991817066,-0.08478756037071494,-0.2533625750940549
27,AK2017,0.4030803715221669,-1.0721426270633214,-0.22184805960488713,1.287054622986997,-0.3853604325896709,-0.7529777181953905,0.5245682677650952,2.286389082176565,1.6393986254914577,0.04379850187374205,-0.2551937896409056
28,AK2018,-0.8783060277068045,-0.3513235727100158,0.4710632026780927,1.777898016221008,-1.71009489994174,-0.7529777181953905,1.3972191139540004,1.514018811229333,0.6993643991817066,0.04379850187374205,-0.2563831351713344
29,AK2019,1.0437735711366523,-0.3513235727100158,-0.22184805960488713,1.0416329263699915,-1.0477276662657053,-0.5253243938426178,1.3972191139540004,-0.030721730665128844,0.6993643991817066,-0.08478756037071494,-0.2569494901858243
30,AK2020,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.25723266769306924
31,AK2021,-0.2376128280923193,0.729905008819943,0.12460757153660255,1.287054622986997,-2.041278516779757,-0.07001774513707237,1.3972191139540004,-0.030721730665128844,0.6993643991817066,-0.08478756037071494,-0.25723266769306924
32,AK2022,0.4030803715221669,-0.3513235727100158,-0.22184805960488713,1.777898016221008,-1.71009489994174,0.38528890356847306,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.25762911620321216
33,AK2023,0.4030803715221669,0.729905008819943,0.4710632026780927,1.0416329263699915,-2.041278516779757,-0.07001774513707237,1.3972191139540004,-0.030721730665128844,-0.2406698271280431,-0.34195968485962874,-0.2579122937104571
34,AK2024,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,0.15763557921570034,0.5245682677650952,-0.030721730665128844,-0.2406698271280431,-0.5991318093485425,-0.1791228719446706
35,AL1990,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.05194785344096368
36,AL1991,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.051570283431303744
37,AL1992,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.0574603755819987
38,AL1993,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.06340710323414264
39,AL1994,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.05672411406316183
40,AL1995,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.05940486113174735
41,AL1996,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.060348786155897186
42,AL1997,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.06688074732301402
43,AL1998,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.0681644853558578
44,AL1999,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,-0.07001774513707237,-0.34808257842381,-0.030721730665128844,-0.2406698271280431,-0.21337362261517193,-0.07841551111812498
45,AL2000,-0.2376128280923193,0.009085954466637477,-0.22184805960488713,0.05994613990196951,-0.05417681575165389,0.6129422279212445,-0.34808257842381,-1.5754622725595917,2.579432851801207,-1.3706481828152837,-0.08073756667753357
