,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
0,AK1988,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.2545194753570775,-0.2609573426052852,-0.23854175918924583,-0.20886751434365605,-0.2600138844819959,-0.004029477331609247,-0.02666589082397953
1,AK1989,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.25316109075842574,-0.26100725284950277,-0.2194189412068501,-0.20615549204545583,-0.25844443333718387,-0.004029477331609247,-0.02666589082397953
2,AK1990,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24953049919475664,-0.2582289159213898,-0.22639314541219444,-0.21022352549275614,-0.2566987336680881,-0.004029477331609247,-0.02666589082397953
3,AK1991,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.25066660267726537,-0.25636560013726617,-0.23336734961753874,-0.2096268805871521,-0.25631266547203807,-0.004029477331609247,-0.02666589082397953
4,AK1992,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24523306428265854,-0.2549348398030284,-0.22841791437503633,-0.20664365605913185,-0.2530982281005781,-0.004029477331609247,-0.02666589082397953
5,AK1993,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24506017897010288,-0.25313807101119484,-0.22324350480332925,-0.19942967674591927,-0.2508237828586312,-0.004029477331609247,-0.02666589082397953
6,AK1994,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24330662794275248,-0.2502432768465742,-0.19692150828638455,-0.19980935986766732,-0.24784434351954948,-0.004029477331609247,-0.02666589082397953
7,AK1995,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24263978459432348,-0.2482135935817252,-0.17577392134114694,-0.20035176432730736,-0.24588882417868738,-0.004029477331609247,-0.02666589082397953
8,AK1996,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24061455664724277,-0.24819695683365267,-0.21716919791480355,-0.19547012419054696,-0.24598114483426456,-0.004029477331609247,-0.02666589082397953
9,AK1997,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.24026878602213142,-0.249893905137051,-0.21199478834309649,-0.19823638693471118,-0.24695470811126027,-0.004029477331609247,-0.02666589082397953
