,LocYear,econ1,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
0,AK2000,-1.6235191155588387,-0.9349303874273404,4.097250172425524,0.05577336238974617,-0.04114994853065934,3.478731043799736,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
1,AK2001,-2.4460294527828275,-1.750236514334599,1.8178295521248837,0.05577336238974617,-0.04114994853065934,2.0544100194596306,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
2,AK2002,-1.6235191155588387,-1.5464099826077842,1.8178295521248837,0.05577336238974617,-0.04114994853065934,2.0544100194596306,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
3,AK2003,-2.034774284170833,-0.7311038557005256,1.247974397049724,0.05577336238974617,-0.04114994853065934,1.8763698914171185,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
4,AK2004,-0.8010087783348498,-1.3425834508809698,1.0580226786913376,0.05577336238974617,-0.04114994853065934,1.8763698914171185,-0.28575514820272246,-0.02006543664342309,-0.19124657837455958,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
5,AK2005,-0.8010087783348498,-0.5272773239737113,2.1977329888416572,0.05577336238974617,-0.5327771928529704,2.0544100194596306,-0.28575514820272246,-0.02006543664342309,-0.41394824520470097,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
6,AK2006,-0.8010087783348498,-0.5272773239737113,2.5776364255584303,-0.12941056456691663,0.2866015476842153,2.2324501475021443,-0.28575514820272246,-0.02006543664342309,-0.5542808023853381,-0.17415062919552232,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
7,AK2007,-1.6235191155588387,-1.3425834508809698,2.0077812704832705,-0.31459449152357943,-0.04114994853065934,1.6983297633746053,0.5785109793235509,-0.02006543664342309,-0.1759930395505773,0.3707723073194998,-0.10593564049124923,-0.016542717362331354,-0.16858883310641323
8,AK2008,-1.6235191155588387,-1.3425834508809698,1.8178295521248837,-0.12941056456691663,0.12272579957677798,0.8081291231620399,1.0106440430866872,-2.3640536484084116,0.19619330775459057,0.3707723073194998,2.3220913601351816,0.41547670913852663,-0.16858883310641323
9,AK2009,-1.2122639469468441,-0.9349303874273404,2.0077812704832705,-0.12941056456691663,0.45047729579165263,1.1642093792470654,1.4427771068498236,-2.3640536484084116,0.09857065928110391,1.460618180349544,2.9290981102917892,1.7115349886410993,1.1396605117993512
10,AK2010,-1.2122639469468441,-0.9349303874273404,2.3876847072000436,-0.31459449152357943,-0.04114994853065934,0.9861692512045522,1.4427771068498236,-2.3640536484084116,0.1717876456362189,0.9156952438345215,2.3220913601351816,2.143554415141957,1.7937851842522332
11,AK2011,-0.38975360972285505,-0.5272773239737113,2.9575398622752043,-1.0553301993502306,0.12272579957677798,0.6300889951195267,0.5785109793235509,-1.1920595425259168,-0.07226897554749773,0.3707723073194998,1.7150846099785741,1.7115349886410993,1.1396605117993512
12,AK2012,-1.2122639469468441,-0.7311038557005256,2.5776364255584303,-0.8701462723935678,0.45047729579165263,1.1642093792470654,0.5785109793235509,-1.7780565954671645,0.1290777369290685,0.3707723073194998,1.7150846099785741,1.2795155621402414,1.1396605117993512
13,AK2013,-0.8010087783348498,-1.1387569191541551,2.5776364255584303,-1.2405141263068935,-0.6966529409604078,0.9861692512045522,0.14637791556041393,-2.0710551219377877,0.45855417552708594,0.3707723073194998,0.5010711096653583,0.8474961356393846,0.4855358393464695
14,AK2014,-0.8010087783348498,-0.32345079224689655,2.5776364255584303,-0.684962345436905,0.2866015476842153,0.27400873903450007,1.4427771068498236,-1.7780565954671645,0.29991737175767014,0.9156952438345215,2.3220913601351816,1.2795155621402414,0.4855358393464695
15,AK2015,-0.8010087783348498,-0.5272773239737113,2.3876847072000436,-1.2405141263068935,-0.04114994853065934,0.8081291231620399,1.0106440430866872,-2.0710551219377877,0.34262728046482055,0.9156952438345215,1.1080778598219658,1.2795155621402414,1.1396605117993512
