,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth28,hth30,hth31,hth32,hth33,target
0,AK1990,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.532970425399015,-0.09424211210583246,-0.15176480262624725,-0.24317384065388975,-0.2704323431170696,-1.7130847146495771,-0.25667617798066245,-0.2617574262608422,-0.2549702158530149,Low
1,AK1991,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.4324168297431206,-0.09424211210583246,-0.15176480262624725,-0.25236352753147334,-0.27112318182648015,-1.93642711265185,-0.2543941338207502,-0.2621444506028307,-0.25365266868182135,Low
2,AK1992,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.360592832846053,-0.09424211210583246,-0.15176480262624725,-0.2464558716815982,-0.2703877728777528,-1.5455779161478724,-0.25325311174079407,-0.2620727794283884,-0.25284048206944176,Low
3,AK1993,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.2744040365695721,-0.09424211210583246,-0.15176480262624725,-0.23595337239293118,-0.27105632646750494,-1.5455779161478724,-0.2561056669406844,-0.26324281135115934,-0.25423022360618014,Low
4,AK1994,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.0876616446371976,-0.09424211210583246,-0.15176480262624725,-0.25367633994255673,-0.27014263656151033,-1.657249115149009,-0.2543941338207502,-0.26395056419877727,-0.2537429116387524,Low
5,AK1995,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-1.0014728483607165,-0.09424211210583246,-0.15176480262624725,-0.24120462203726467,-0.27110089670682175,-2.2714407096552582,-0.25952873318055275,-0.2647281964414765,-0.25507850740133214,Low
6,AK1996,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.8434600551871682,-0.09424211210583246,-0.15176480262624725,-0.25236352753147334,-0.2710117562281881,-1.098893120143327,-0.252112089660838,-0.26509909476921556,-0.2558004510567807,Low
7,AK1997,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.9009192527048221,-0.09424211210583246,-0.15176480262624725,-0.240548215831723,-0.27023177704014395,-1.0430575206427595,-0.2515415786208599,-0.26526035491171074,-0.25574630528262204,Low
8,AK1998,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.8290952558077547,-0.09424211210583246,-0.15176480262624725,-0.2517071213259317,-0.2700312109632183,-1.1547287196438951,-0.2583877111005966,-0.265297982278293,-0.2557102080998496,Low
9,AK1999,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.5274344688400714,-0.09424211210583246,-0.15176480262624725,-0.2582711833813486,-0.2703877728777528,-0.7080439236393503,-0.2515415786208599,-0.2652549795736276,-0.25531313908935294,Low
10,AK2000,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.5561640675988984,-0.09424211210583246,-0.15176480262624725,-0.24973790270930663,-0.2708111901512625,-1.1547287196438951,-0.2418428909412329,-0.2652119768689622,-0.2546092440252906,Low
11,AK2001,0.2804030661231549,-0.05965422636996764,-0.059654226369968005,-0.5848936663577253,-0.09424211210583246,-0.15176480262624725,-0.24842509029822324,-0.27063290919399524,-1.1547287196438951,-0.252112089660838,-0.2651600152674915,-0.2565223947122292,Low
12,AK2002,-1.3600978333418738,-0.05965422636996764,-0.059654226369968005,-0.4125160738047634,-0.09424211210583246,-0.15176480262624725,-0.25367633994255673,-0.270343202638436,-1.2663999186450314,-0.25781720006061853,-0.2652764809259603,-0.2563058116155947,Low
13,AK2003,0.24202877607718928,-0.05965422636996764,-0.059654226369968005,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
14,AK2003,0.24202877607718928,-0.05965422636996764,-0.059654226369968005,-0.3263272775282833,0.23009140523864574,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
15,AK2003,0.24202877607718928,-0.05965422636996764,1.5478804289059394,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
16,AK2003,0.24202877607718928,-0.05965422636996764,1.5478804289059394,-0.3263272775282833,0.23009140523864574,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
17,AK2003,0.24202877607718928,1.5478804289059396,-0.059654226369968005,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
18,AK2003,0.24202877607718928,1.5478804289059396,-0.059654226369968005,-0.3263272775282833,0.23009140523864574,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
19,AK2003,0.24202877607718928,1.5478804289059396,1.5478804289059394,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
20,AK2003,0.24202877607718928,1.5478804289059396,1.5478804289059394,-0.3263272775282833,0.23009140523864574,-0.15176480262624725,-0.2444866530649731,-0.26987521512560947,-0.5963727246382139,-0.24811851238099156,-0.26501129758052366,-0.25661263766916026,Low
21,AK2004,-0.3815534371697512,-0.05965422636996764,-0.059654226369968005,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
22,AK2004,-0.3815534371697512,-0.05965422636996764,-0.059654226369968005,-0.3263272775282833,-0.22397551904362392,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
23,AK2004,-0.3815534371697512,-0.05965422636996764,1.2316441032778918,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
24,AK2004,-0.3815534371697512,-0.05965422636996764,1.2316441032778918,-0.3263272775282833,-0.22397551904362392,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
25,AK2004,-0.3815534371697512,1.231644103277892,-0.059654226369968005,-0.3263272775282833,-0.09424211210583246,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
26,AK2004,-0.3815534371697512,1.231644103277892,-0.059654226369968005,-0.3263272775282833,-0.22397551904362392,-0.15176480262624725,-0.24776868409268155,-0.2694740829717582,-0.8755507221410549,-0.2458364682210793,-0.26455976918153706,-0.2562155686586636,Low
