,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: P,safe1112: S,safe1920: 1,safe1920: 2,safe212223
0,AK2000,-0.3729557606841557,-0.054680574081325845,-0.24604859262128442,-0.2527863386938041,-0.2426534633304477,-0.23738833075993104,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-0.13354132455406723,0.1487698195854659
1,AK2001,-0.3729557606841557,-0.054680574081325845,-0.24894242366713665,-0.25026630950109224,-0.23114154365929906,-0.2363769310530805,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,0.01797544041851785,-0.13354132455406723,0.1487698195854659
2,AK2002,1.7757027637522655,0.6661822378475211,-0.2468839252943139,-0.25488130272148024,-0.23841222976739293,-0.24143392958733317,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,2.6918222026732006,0.3776193566375192,0.1487698195854659
3,AK2003,1.7757027637522655,0.3778371130759828,-0.2506130890131957,-0.25679409596414104,-0.24174462756693596,-0.24035931739880448,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,3.360283893236871,0.2072324629069907,0.1487698195854659
4,AK2004,1.4175930096795288,0.08949198830444369,-0.25890674912398864,-0.2589497835868223,-0.24522849799373095,-0.2394111301736321,-0.011158019058094222,-0.22071454227330128,-0.2038985218002183,-0.20043753139346931,-0.19034579296036014,-0.18432099738758703,2.02336051210953,-0.13354132455406723,0.1487698195854659
5,AK2005,1.4175930096795288,-0.054680574081325845,-0.25070258894244885,-0.25655120158412065,-0.2423505180759438,-0.24952512724213746,0.8643173224231478,-0.12399888281133097,-0.2165834096522076,-0.2486606939825541,-0.2451887185360687,-0.2638120815875497,0.6864371309821884,-0.4743151120151247,0.6907170195039483
6,AK2006,1.4175930096795288,0.6661822378475211,-0.2512395885179678,-0.2595873813343759,-0.24113873705792815,-0.23467019404777023,1.73979266390439,-0.06541775350634559,-0.18055832815255798,-0.2432014680290728,-0.2345824590553611,-0.256035779872336,0.6864371309821884,-0.4743151120151247,0.1487698195854659
7,AK2007,1.0594832556067917,0.8103548002332905,-0.2519854212617441,-0.2573709701166896,-0.234776886713346,-0.23131993251882782,1.3020549931637688,-0.07320693413415527,-0.18816926086375158,-0.24272171786952446,-0.24551810547646336,-0.25875131380463284,0.6864371309821884,-0.3039282182845957,0.1487698195854659
8,AK2008,1.4175930096795288,0.5220096754617523,-0.2511202552789636,-0.2523309117312658,-0.23250479730456666,-0.22942355806848308,2.615268005385632,-0.0845661558830444,-0.21353903656773018,-0.22632749690013063,-0.23201324092028286,-0.2541842794639518,1.3548988215458588,0.5480062503680482,-0.3931773803330164
9,AK2009,1.0594832556067917,0.6661822378475211,-0.2510904219692125,-0.25272561509879904,-0.22341643966944932,-0.23296345704245996,2.177530334645011,-0.11182828808037833,-0.2328200661027539,-0.22710502302077795,-0.23873273450433363,-0.2644292483903445,1.3548988215458588,0.3776193566375192,-0.3931773803330164
10,AK2010,0.34326374746131827,0.8103548002332905,-0.25177658809348674,-0.2525434443137837,-0.22205318602418173,-0.23757796820496552,1.3020549931637688,-0.1801458931701258,-0.2455049539547432,-0.23843705265148912,-0.2528304955532245,-0.2683791159282308,1.3548988215458588,0.3776193566375192,0.1487698195854659
11,AK2011,0.34326374746131827,0.6661822378475211,-0.2510307553497104,-0.2566726487741309,-0.22871798162326776,-0.23492304397448285,1.3020549931637688,-0.1785231472059988,-0.24905672255330022,-0.23638570714169616,-0.25184233473204054,-0.2652932819142571,2.02336051210953,0.5480062503680482,-0.3931773803330164
