,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,educ17,educ18,educ19
1166,NE2013,0.12,0.23,0.11,0.42,0.12,30,0.04,0.04,0.03,,,,0.12,0.26,0.1,0.42,0.1,0.76,0.36,0.24,0.64,0.81,0.37,0.19,0.63,,,,,0.84,0.45,0.16,0.55,,,,,,,,,0.2,0.77,0.51,0.5,0.72,2125.0,2839.0,63.0,1764.0,6791.0,,,0.53
1167,NE2014,0.12,0.23,0.12,0.41,0.12,,,,0.03,,,,0.12,0.28,0.08,0.42,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898.0,2639.0,59.0,1717.0,6313.0,,,0.49
1168,NE2015,0.13,0.23,0.12,0.41,0.09,23,0.04,0.04,0.03,,,,0.12,0.25,0.1,0.45,0.08,0.77,0.38,0.23,0.62,0.81,0.38,0.19,0.62,,,,,0.86,0.46,0.14,0.54,,,,,,,,,0.17,0.77,0.45,0.47,0.69,2072.0,2566.0,44.0,1763.0,6445.0,,,0.5
1169,NE2016,0.11,0.25,0.13,0.4,0.11,,,,0.05,,,,0.11,0.27,0.1,0.42,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,2382.0,93.0,2076.0,6503.0,,,0.51
1170,NE2017,0.12,0.23,0.13,0.41,0.11,27,0.06,0.05,0.05,,,,0.12,0.27,0.1,0.43,0.08,0.76,0.41,0.24,0.59,0.79,0.38,0.21,0.62,,,,,0.85,0.49,0.15,0.51,,,,,,,,,0.22,0.77,0.48,0.5,0.71,1867.0,2191.0,28.0,2222.0,6308.0,,,0.51
1171,NE2018,0.12,0.24,0.15,0.4,0.09,,,,0.03,,,,0.12,0.27,0.11,0.43,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.0,2123.0,45.0,1645.0,5698.0,,,0.51
1172,NE2019,0.13,0.26,0.14,0.38,0.09,,,,0.04,,,,0.12,0.28,0.11,0.42,0.07,0.74,0.37,0.26,0.63,0.74,0.34,0.26,0.66,,,,,0.84,0.45,0.16,0.55,,,,,,,,,0.24,0.78,0.5,0.53,0.73,1755.0,2176.0,69.0,2323.0,6323.0,,,0.53
1173,NE2021,0.12,0.26,0.15,0.37,0.1,,,,0.04,,,,0.11,0.29,0.12,0.4,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.0,1833.0,101.0,2089.0,5484.0,,,0.51
1174,NE2022,0.13,0.27,0.14,0.38,0.08,,,,0.03,,,,0.11,0.27,0.12,0.44,0.06,0.68,0.31,0.32,0.69,0.7,0.29,0.3,0.71,,,,,0.8,0.43,0.2,0.57,,,,,,,,,0.31,0.81,0.55,0.5,0.77,1517.0,1870.0,55.0,2358.0,5657.0,,,0.5
1175,NE2023,0.13,0.28,0.14,0.37,0.08,,,,0.03,,,,0.12,0.28,0.12,0.42,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
