,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,educ17,educ18,educ19
55,AL2007,0.07,0.15,0.08,0.54,0.16,,,,0.02,0.061,0.069,0.065,0.07,0.16,0.07,0.54,0.16,0.55,0.18,0.45,0.82,0.62,0.21,0.38,0.79,0.84,0.24,0.16,0.76,0.7,0.26,0.3,0.74,,,,,,,,,0.22,,,,,6643.0,10234.0,330.0,1000.0,18207.0,0.31,0.18,0.42
56,AL2008,0.08,0.16,0.08,0.52,0.16,,,,0.01,,,,0.08,0.18,0.06,0.52,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6714.0,10165.0,195.0,1027.0,18101.0,0.3,,0.4
57,AL2009,0.09,0.16,0.09,0.51,0.15,,,,0.01,,,,0.08,0.18,0.06,0.52,0.16,0.58,0.2,0.42,0.8,0.66,0.24,0.34,0.76,,,,,0.7,0.24,0.3,0.76,,,,,,,,,0.2,0.84,0.57,0.58,0.79,6654.0,11046.0,244.0,1040.0,18984.0,0.28,,0.45
58,AL2010,0.09,0.15,0.09,0.51,0.16,,,,0.02,,,,0.07,0.18,0.07,0.51,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6721.0,10880.0,344.0,1810.0,19755.0,0.24,,0.44
59,AL2011,0.09,0.15,0.09,0.52,0.15,14,0.09,0.1,0.02,0.08,0.059,0.07,0.09,0.17,0.08,0.51,0.16,0.6,0.2,0.4,0.8,0.69,0.26,0.31,0.74,,,,,0.75,0.27,0.25,0.73,,,,,,,,,0.22,0.82,0.5,0.56,0.73,6609.0,11112.0,173.0,1929.0,19823.0,0.25,,0.45
60,AL2012,0.09,0.16,0.09,0.51,0.14,,,,0.02,,,,0.08,0.19,0.07,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6208.0,10941.0,909.0,1952.0,20010.0,0.26,,0.45
61,AL2013,0.09,0.16,0.09,0.51,0.13,19,0.08,0.08,0.02,,,,0.09,0.18,0.07,0.53,0.14,0.6,0.2,0.4,0.8,0.68,0.25,0.32,0.75,,,,,0.75,0.3,0.25,0.7,,,,,,,,,0.22,0.82,0.51,0.53,0.77,6554.0,11128.0,183.0,2294.0,20159.0,,,0.42
62,AL2014,0.1,0.16,0.09,0.5,0.14,,,,0.01,,,,0.08,0.18,0.08,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6213.0,10427.0,153.0,2346.0,19139.0,,,0.42
63,AL2015,0.1,0.17,0.1,0.49,0.14,43,0.08,0.08,0.02,,,,0.08,0.19,0.07,0.53,0.13,0.56,0.17,0.44,0.83,0.71,0.26,0.29,0.74,,,,,0.75,0.26,0.25,0.74,,,,,,,,,0.21,0.81,0.55,0.62,0.76,6752.0,9600.0,186.0,2303.0,18841.0,,,0.45
64,AL2016,0.1,0.17,0.11,0.49,0.12,,,,0.01,,,,0.09,0.18,0.08,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6779.0,9570.0,150.0,3262.0,19761.0,,,0.45
65,AL2017,0.1,0.16,0.12,0.5,0.12,44,0.07,0.07,0.01,,,,0.1,0.19,0.08,0.52,0.12,0.55,0.21,0.45,0.79,0.67,0.28,0.33,0.72,,,,,0.73,0.31,0.27,0.69,,,,,,,,,0.25,0.78,0.48,0.49,0.76,6273.0,7891.0,171.0,3088.0,17423.0,,,0.44
66,AL2018,0.1,0.18,0.11,0.49,0.11,,,,0.01,,,,0.1,0.2,0.07,0.52,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6564.0,7247.0,170.0,2635.0,16616.0,,,0.45
67,AL2019,0.11,0.18,0.11,0.48,0.11,,,,0.02,,,,0.09,0.19,0.09,0.52,0.11,0.57,0.21,0.43,0.79,0.64,0.24,0.36,0.76,,,,,0.71,0.28,0.29,0.72,,,,,,,,,0.27,0.84,0.55,0.53,0.77,6225.0,7026.0,126.0,3715.0,17092.0,,,0.46
68,AL2021,0.1,0.17,0.13,0.48,0.1,,,,0.02,,,,0.09,0.2,0.09,0.53,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4170.0,4583.0,56.0,3661.0,12470.0,,,0.44
69,AL2022,0.1,0.19,0.13,0.48,0.1,,,,0.02,,,,0.09,0.2,0.1,0.53,0.08,0.53,0.19,0.47,0.81,0.61,0.22,0.39,0.78,,,,,0.71,0.27,0.29,0.73,,,,,,,,,0.36,0.84,0.6,0.52,0.79,4709.0,3973.0,106.0,3834.0,12557.0,,,0.46
70,AL2023,0.11,0.2,0.13,0.48,0.09,,,,0.02,,,,0.1,0.21,0.1,0.51,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
71,AL2024,,,,,,,,,0.02,,,,0.09,0.22,0.11,0.51,0.07,0.5,0.18,0.5,0.82,0.59,0.21,0.41,0.79,,,,,0.76,0.37,0.24,0.63,,,,,,,,,S,0.83,0.54,0.6,0.78,,,,,,,,
72,AR1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,5056.0,106.0,100.0,7337.0,,,
73,AR1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252.0,4968.0,103.0,124.0,7447.0,,,
74,AR1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.0,5055.0,54.0,119.0,7352.0,,,
75,AR1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.0,5715.0,82.0,114.0,8340.0,,,
76,AR1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2713.0,6374.0,87.0,243.0,9417.0,,,
77,AR1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.0,6660.0,47.0,303.0,9914.0,,,
78,AR1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087.0,7025.0,70.0,268.0,10450.0,,,
79,AR1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359.0,7127.0,185.0,375.0,11046.0,,,
80,AR1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201.0,7203.0,206.0,368.0,10978.0,,,
81,AR1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542.0,6834.0,51.0,400.0,10827.0,,,
82,AR1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973.0,6426.0,542.0,419.0,11360.0,,,
83,AR1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545.0,5884.0,72.0,452.0,9953.0,,,
84,AR2000,,,,,,,,,0.01,,,,0.05,0.16,0.04,0.61,0.16,0.49,0.13,0.51,0.87,,,,,,,,,0.55,0.14,0.45,0.86,0.62,0.23,0.38,0.77,,,,,,,,,,4167.0,6918.0,312.0,675.0,12072.0,,0.16,0.31
85,AR2001,,,,,,,,,0.02,,,,0.06,0.16,0.04,0.59,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310.0,7177.0,73.0,815.0,12375.0,,0.19,0.32
86,AR2002,,,,,,,,,0.02,,,,0.07,0.2,0.06,0.55,0.13,,,,,0.72,0.27,0.28,0.73,0.79,0.19,0.21,0.81,,,,,,,,,0.82,0.19,0.18,0.81,,,,,,4436.0,7251.0,56.0,1003.0,12746.0,,0.2,0.31
87,AR2003,,,,,,,,,0.02,0.049,0.059,0.053,0.05,0.16,0.06,0.58,0.15,0.58,0.19,0.42,0.81,0.7,0.27,0.3,0.73,,,,,0.71,0.26,0.29,0.74,,,,,,,,,0.25,,,,,4548.0,7462.0,44.0,1114.0,13168.0,,0.22,0.31
88,AR2004,,,,,,,,,0.03,,,,0.05,0.17,0.04,0.6,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.0,7169.0,280.0,1144.0,12973.0,,0.17,0.35
89,AR2005,0.06,0.13,0.06,0.59,0.16,,,,0.02,,,,0.06,0.16,0.05,0.58,0.15,0.64,0.22,0.36,0.78,0.69,0.26,0.31,0.74,,,,,0.78,0.34,0.22,0.66,0.64,0.24,0.36,0.76,,,,,0.23,,,,,5015.0,6991.0,112.0,1137.0,13255.0,0.2,0.19,0.33
90,AR2006,0.07,0.13,0.06,0.57,0.16,,,,0.02,,,,0.06,0.15,0.05,0.59,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743.0,6456.0,949.0,1232.0,13380.0,0.26,0.17,0.39
91,AR2007,0.07,0.13,0.06,0.56,0.18,,,,0.03,0.061,0.077,0.069,0.07,0.16,0.05,0.58,0.14,0.65,0.24,0.35,0.76,0.7,0.25,0.3,0.75,0.85,0.27,0.15,0.73,0.81,0.37,0.19,0.63,,,,,,,,,0.28,,,,,4660.0,5521.0,38.0,1269.0,11488.0,0.24,0.19,0.39
92,AR2008,0.06,0.14,0.06,0.58,0.17,,,,0.02,,,,0.06,0.14,0.06,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746.0,5358.0,39.0,1418.0,11561.0,0.26,,0.37
93,AR2009,0.07,0.14,0.06,0.58,0.15,,,,0.02,,,,0.07,0.16,0.06,0.59,0.13,0.67,0.27,0.33,0.73,0.69,0.27,0.31,0.73,,,,,0.8,0.36,0.2,0.64,,,,,,,,,0.2,0.8,0.58,0.58,0.75,4882.0,5322.0,44.0,1392.0,11640.0,0.25,,0.38
94,AR2010,0.08,0.13,0.07,0.57,0.16,,,,0.02,,,,0.08,0.17,0.06,0.56,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5358.0,5961.0,65.0,1914.0,13298.0,0.23,,0.4
95,AR2011,0.08,0.14,0.07,0.57,0.14,15,0.12,0.08,0.03,0.073,0.043,0.059,0.07,0.16,0.07,0.57,0.13,0.7,0.29,0.3,0.71,0.71,0.28,0.29,0.72,,,,,0.81,0.37,0.19,0.63,,,,,,,,,0.24,0.8,0.52,0.47,0.73,4969.0,5467.0,322.0,2055.0,12813.0,0.22,,0.41
96,AR2012,0.08,0.15,0.07,0.55,0.15,,,,0.02,,,,0.07,0.16,0.07,0.58,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4686.0,5210.0,65.0,1891.0,11852.0,0.2,,0.43
97,AR2013,0.08,0.15,0.08,0.55,0.14,18,0.1,0.07,0.03,,,,0.08,0.17,0.07,0.57,0.13,0.69,0.28,0.31,0.72,0.73,0.3,0.27,0.7,,,,,0.83,0.39,0.17,0.61,,,,,,,,,0.24,0.78,0.54,0.52,0.73,4940.0,5507.0,42.0,2271.0,12760.0,,,0.42
98,AR2014,0.08,0.16,0.08,0.55,0.13,,,,0.02,,,,0.08,0.18,0.06,0.57,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4631.0,4846.0,62.0,2451.0,11990.0,,,0.42
99,AR2015,0.08,0.16,0.08,0.54,0.14,19,0.11,0.07,0.02,,,,0.08,0.17,0.07,0.56,0.11,0.66,0.25,0.34,0.75,0.7,0.27,0.3,0.73,,,,,0.79,0.32,0.21,0.68,,,,,,,,,0.24,0.76,0.52,0.48,0.7,4465.0,4680.0,46.0,2821.0,12012.0,,,0.43
100,AR2016,0.08,0.17,0.09,0.52,0.14,,,,0.02,,,,0.08,0.17,0.07,0.56,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935.0,4200.0,247.0,3491.0,11873.0,,,0.42
101,AR2017,0.08,0.16,0.1,0.53,0.13,32,0.11,0.07,0.02,,,,0.09,0.19,0.08,0.55,0.09,0.62,0.25,0.38,0.75,0.71,0.29,0.29,0.71,,,,,0.75,0.33,0.25,0.67,,,,,,,,,0.27,0.77,0.52,0.55,0.71,3885.0,4084.0,72.0,4174.0,12215.0,,,0.42
102,AR2018,0.1,0.16,0.09,0.53,0.12,,,,0.02,,,,0.09,0.18,0.08,0.57,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3771.0,3545.0,53.0,3553.0,10922.0,,,0.41
103,AR2019,0.1,0.16,0.1,0.53,0.11,,,,0.02,,,,0.08,0.19,0.07,0.57,0.09,0.63,0.27,0.37,0.73,0.68,0.3,0.32,0.7,,,,,0.75,0.33,0.25,0.67,,,,,,,,,0.26,0.76,0.52,0.43,0.71,3417.0,3249.0,29.0,4864.0,11559.0,,,0.44
104,AR2021,0.11,0.16,0.11,0.53,0.1,,,,0.02,,,,0.09,0.18,0.09,0.56,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.0,2541.0,243.0,4613.0,9578.0,,,0.39
105,AR2022,0.1,0.17,0.11,0.52,0.1,,,,0.01,,,,0.09,0.19,0.08,0.56,0.07,0.55,0.19,0.45,0.81,0.64,0.26,0.36,0.74,,,,,0.69,0.28,0.31,0.72,,,,,,,,,0.39,0.81,0.51,0.55,0.75,2504.0,2331.0,31.0,5235.0,9901.0,,,0.39
106,AR2023,0.11,0.18,0.11,0.51,0.09,,,,0.02,,,,0.1,0.2,0.08,0.55,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
107,AR2024,,,,,,,,,0.03,,,,0.09,0.21,0.09,0.53,0.08,0.54,0.2,0.46,0.8,0.65,0.25,0.35,0.75,,,,,0.7,0.31,0.3,0.69,,,,,,,,,0.34,0.79,0.6,0.6,0.74,,,,,,,,
108,AZ1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.0,6678.0,1549.0,25.0,10183.0,,,
109,AZ1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098.0,7268.0,860.0,8.0,10234.0,,,
110,AZ1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2163.0,7428.0,1030.0,2.0,10623.0,,,
111,AZ1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.0,7498.0,1600.0,0.0,11242.0,,,
112,AZ1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519.0,8449.0,1153.0,11.0,12132.0,,,
113,AZ1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.0,9140.0,1359.0,102.0,12754.0,,,
114,AZ1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3214.0,10714.0,1227.0,60.0,15215.0,,,
115,AZ1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026.0,11359.0,1834.0,66.0,17285.0,,,
116,AZ1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4339.0,11952.0,693.0,79.0,17063.0,,,
117,AZ1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272.0,12007.0,887.0,166.0,17332.0,,,
118,AZ1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751.0,12330.0,1165.0,270.0,18516.0,,,
119,AZ1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5241.0,11974.0,1508.0,454.0,19177.0,,,
120,AZ2000,,,,,,,,,0.09,,,,0.07,0.17,0.06,0.51,0.2,0.6,0.2,0.4,0.8,,,,,,,,,0.57,0.16,0.43,0.84,0.55,0.22,0.45,0.78,,,,,,,,,,5899.0,12146.0,582.0,651.0,19278.0,,0.19,0.29
121,AZ2001,,,,,,,,,0.09,,,,0.07,0.17,0.06,0.47,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5995.0,12171.0,1454.0,2255.0,21875.0,,0.17,0.3
122,AZ2002,,,,,,,,,0.08,,,,0.07,0.16,0.06,0.53,0.18,,,,,0.68,0.23,0.32,0.77,0.77,0.2,0.23,0.8,,,,,,,,,0.76,0.15,0.24,0.85,,,,,,6909.0,12777.0,700.0,1087.0,21473.0,,0.19,0.32
123,AZ2003,,,,,,,,,0.08,0.061,0.043,0.051,0.08,0.17,0.07,0.51,0.18,0.61,0.21,0.39,0.79,0.66,0.25,0.34,0.75,,,,,0.7,0.25,0.3,0.75,,,,,,,,,0.23,,,,,6459.0,12750.0,1508.0,1619.0,22336.0,,0.18,0.33
124,AZ2004,,,,,,,,,0.06,,,,0.08,0.17,0.06,0.51,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6448.0,13297.0,1105.0,1851.0,22701.0,,0.16,0.37
125,AZ2005,0.08,0.14,0.08,0.49,0.21,,,,0.08,,,,0.08,0.17,0.06,0.51,0.18,0.64,0.26,0.36,0.74,0.65,0.23,0.35,0.77,,,,,0.7,0.28,0.3,0.72,0.53,0.18,0.47,0.82,,,,,0.21,,,,,5622.0,13337.0,1920.0,2056.0,22935.0,0.3,0.17,0.35
126,AZ2006,0.08,0.14,0.08,0.48,0.21,,,,0.09,,,,0.08,0.18,0.06,0.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6286.0,13663.0,1265.0,2041.0,23255.0,0.3,0.17,0.37
127,AZ2007,0.08,0.14,0.08,0.47,0.22,,,,0.09,0.093,0.065,0.079,0.08,0.17,0.06,0.51,0.18,0.66,0.26,0.34,0.74,0.65,0.24,0.35,0.76,0.85,0.23,0.15,0.77,0.74,0.31,0.26,0.69,,,,,,,,,0.24,,,,,5659.0,12354.0,1477.0,1986.0,21476.0,0.29,0.18,0.37
128,AZ2008,0.08,0.14,0.08,0.48,0.22,,,,0.08,,,,0.08,0.17,0.06,0.5,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6195.0,12818.0,796.0,2114.0,21923.0,0.27,,0.38
129,AZ2009,0.08,0.15,0.08,0.49,0.2,,,,0.06,,,,0.09,0.17,0.06,0.51,0.17,0.67,0.29,0.33,0.71,0.68,0.27,0.32,0.73,,,,,0.71,0.28,0.29,0.72,,,,,,,,,0.19,0.87,0.62,0.6,0.85,5755.0,12163.0,1400.0,1951.0,21269.0,0.25,,0.39
130,AZ2010,0.08,0.15,0.08,0.5,0.19,,,,0.06,,,,0.09,0.18,0.06,0.52,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577.0,13066.0,741.0,2978.0,22362.0,0.21,,0.4
131,AZ2011,0.09,0.15,0.09,0.49,0.18,6,0.06,0.06,0.05,0.083,0.092,0.087,0.09,0.19,0.07,0.51,0.14,0.68,0.31,0.32,0.69,0.71,0.28,0.29,0.72,,,,,0.77,0.34,0.23,0.66,,,,,,,,,0.24,0.85,0.59,0.56,0.84,5773.0,12763.0,939.0,3250.0,22725.0,0.23,,0.41
132,AZ2012,0.09,0.16,0.09,0.47,0.19,,,,0.05,,,,0.09,0.18,0.07,0.51,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5784.0,12407.0,429.0,3309.0,21929.0,0.24,,0.42
133,AZ2013,0.09,0.17,0.09,0.47,0.19,4,0.05,0.05,0.04,,,,0.09,0.19,0.08,0.5,0.15,0.69,0.31,0.31,0.69,0.72,0.28,0.28,0.72,,,,,0.82,0.4,0.18,0.6,,,,,,,,,0.23,0.85,0.57,0.54,0.85,6092.0,12345.0,474.0,3526.0,22437.0,,,0.41
134,AZ2014,0.09,0.17,0.1,0.47,0.17,,,,0.05,,,,0.09,0.19,0.07,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484.0,11570.0,339.0,3246.0,20639.0,,,0.42
135,AZ2015,0.09,0.17,0.1,0.47,0.18,4,0.05,0.05,0.05,,,,0.09,0.19,0.07,0.51,0.13,0.72,0.35,0.28,0.65,0.74,0.31,0.26,0.69,,,,,0.79,0.38,0.21,0.62,,,,,,,,,0.21,0.83,0.48,0.47,0.82,6562.0,11436.0,107.0,3893.0,21998.0,,,0.43
136,AZ2016,0.08,0.18,0.1,0.47,0.17,,,,0.04,,,,0.09,0.2,0.07,0.5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6003.0,11595.0,125.0,4873.0,22596.0,,,0.43
137,AZ2017,0.09,0.18,0.11,0.45,0.16,8,0.05,0.05,0.04,,,,0.09,0.21,0.08,0.51,0.11,0.71,0.34,0.29,0.66,0.75,0.3,0.25,0.7,,,,,0.73,0.34,0.27,0.66,,,,,,,,,0.27,0.83,0.47,0.42,0.81,5373.0,9900.0,1653.0,4845.0,21771.0,,,0.42
138,AZ2018,0.09,0.18,0.11,0.46,0.16,,,,0.04,,,,0.09,0.21,0.08,0.51,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747.0,9548.0,801.0,3524.0,19620.0,,,0.43
139,AZ2019,0.09,0.18,0.11,0.46,0.15,,,,0.04,,,,0.09,0.2,0.08,0.52,0.11,0.68,0.31,0.32,0.69,0.7,0.28,0.3,0.72,,,,,0.77,0.37,0.23,0.63,,,,,,,,,0.26,0.82,0.54,0.53,0.78,6567.0,9464.0,142.0,5490.0,21663.0,,,0.43
140,AZ2021,0.1,0.2,0.13,0.45,0.13,,,,0.04,,,,0.09,0.24,0.09,0.5,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.0,6267.0,171.0,4058.0,14334.0,,,0.42
141,AZ2022,0.09,0.2,0.13,0.44,0.14,,,,0.05,,,,0.09,0.24,0.09,0.49,0.09,0.58,0.24,0.42,0.76,0.68,0.28,0.32,0.72,,,,,0.7,0.32,0.3,0.68,,,,,,,,,0.42,0.81,0.59,0.49,0.78,4669.0,6612.0,105.0,4598.0,15834.0,,,0.42
142,AZ2023,0.1,0.2,0.14,0.43,0.12,,,,0.04,,,,0.09,0.24,0.1,0.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
143,AZ2024,,,,,,,,,0.04,,,,0.08,0.25,0.1,0.48,0.08,0.57,0.26,0.43,0.74,0.65,0.25,0.35,0.75,,,,,0.7,0.34,0.3,0.66,,,,,,,,,0.35,0.84,0.6,0.52,0.85,,,,,,,,
144,"Alabama, Congressional District 1 (113th-117th)2012",,,,,,,,,0.01,,,,0.09,0.16,0.05,0.54,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Alabama, Congressional District 1 (113th-117th)2013",,,,,,,,,0.01,,,,0.09,0.18,0.05,0.54,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Alabama, Congressional District 1 (113th-117th)2014",,,,,,,,,0.02,,,,0.08,0.19,0.06,0.54,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Alabama, Congressional District 1 (113th-117th)2015",,,,,,,,,0.01,,,,0.07,0.21,0.04,0.55,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Alabama, Congressional District 1 (113th-117th)2016",,,,,,,,,0.01,,,,0.11,0.18,0.08,0.51,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Alabama, Congressional District 1 (113th-117th)2017",,,,,,,,,0.01,,,,0.08,0.18,0.07,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Alabama, Congressional District 1 (113th-117th)2018",,,,,,,,,0.01,,,,0.1,0.21,0.06,0.5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Alabama, Congressional District 1 (113th-117th)2019",,,,,,,,,0.01,,,,0.1,0.16,0.08,0.56,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Alabama, Congressional District 1 (113th-117th)2021",,,,,,,,,0.02,,,,0.1,0.17,0.08,S,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Alabama, Congressional District 1 (118th - current)2022",,,,,,,,,0.02,,,,0.11,0.19,0.07,0.53,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Alabama, Congressional District 1 (118th - current)2023",,,,,,,,,0.02,,,,0.07,0.2,0.1,0.56,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Alabama, Congressional District 1 (118th - current)2024",,,,,,,,,0.01,,,,0.11,0.2,0.08,0.52,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Alabama, Congressional District 12005",,,,,,,,,0.01,,,,0.09,0.17,0.06,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Alabama, Congressional District 12006",,,,,,,,,0.02,,,,0.07,0.13,0.06,0.57,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Alabama, Congressional District 12007",,,,,,,,,0.01,,,,0.07,0.15,0.05,0.58,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Alabama, Congressional District 12008",,,,,,,,,0.01,,,,0.1,0.19,0.04,0.52,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Alabama, Congressional District 12009",,,,,,,,,0.01,,,,0.09,0.15,0.05,0.56,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Alabama, Congressional District 12010",,,,,,,,,0.02,,,,0.08,0.18,0.05,0.53,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Alabama, Congressional District 12011",,,,,,,,,0.02,,,,0.09,0.19,0.05,0.54,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Alabama, Congressional District 2 (113th-117th)2012",,,,,,,,,0.02,,,,0.09,0.2,0.06,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Alabama, Congressional District 2 (113th-117th)2013",,,,,,,,,0.02,,,,0.1,0.13,0.06,0.55,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Alabama, Congressional District 2 (113th-117th)2014",,,,,,,,,0.01,,,,0.09,0.15,0.07,0.53,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Alabama, Congressional District 2 (113th-117th)2015",,,,,,,,,0.03,,,,0.1,0.15,0.06,0.54,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Alabama, Congressional District 2 (113th-117th)2016",,,,,,,,,0.01,,,,0.1,0.16,0.05,0.55,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Alabama, Congressional District 2 (113th-117th)2017",,,,,,,,,0.01,,,,0.09,0.18,0.05,0.52,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Alabama, Congressional District 2 (113th-117th)2018",,,,,,,,,0.01,,,,0.11,0.17,0.05,0.55,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
