,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
849,NE2016,0.06,0.19,0.14,0.09,0.66,0.22,,0.04,0.23,71800.0,0.02,0.04,0.08,0.11
850,NE2017,0.06,0.19,0.14,0.1,0.68,0.22,,0.03,0.23,72800.0,0.02,0.05,0.08,0.1
851,NE2018,0.05,0.2,0.13,0.08,0.69,0.21,,0.03,0.22,73900.0,0.02,0.04,0.07,0.1
852,NE2019,0.05,0.16,0.11,0.08,0.71,0.2,,0.03,0.21,80300.0,0.02,0.04,0.07,0.1
853,NE2020,,,,,,,,0.04,,,0.03,,,
854,NE2021,0.06,0.18,0.13,0.09,0.73,0.22,,0.02,0.19,91000.0,0.02,0.04,0.08,0.11
855,NE2022,0.06,0.18,0.14,0.08,0.71,0.22,0.19,0.03,0.19,94100.0,0.02,0.03,0.06,0.09
856,NE2023,0.05,0.17,0.11,0.1,0.74,0.22,,0.03,0.2,96700.0,0.02,0.04,0.07,0.09
857,NE2024,0.06,0.17,0.12,,,,,0.03,,101300.0,0.02,,,
858,NH2000,0.03,,0.06,0.05,,,0.24,,,,,,,
859,NH2001,0.03,,0.07,0.04,,,0.24,,,,,,,
860,NH2002,0.03,,0.08,0.06,,,0.24,,,,,,,
861,NH2003,0.04,,0.08,0.06,,,0.27,,,,,,,
862,NH2004,0.04,,0.1,0.05,,,0.29,,,,,,,
863,NH2005,0.04,0.13,0.09,0.05,,0.37,0.27,,,70400.0,,,,
864,NH2006,0.04,,0.1,0.05,0.77,0.42,0.26,,,71100.0,,,,
865,NH2007,0.04,,0.09,0.05,0.79,0.41,0.27,0.04,,75700.0,0.03,,,
866,NH2008,0.04,0.11,0.09,0.04,0.78,0.38,,0.04,0.12,79400.0,0.03,0.04,0.08,0.11
867,NH2009,0.04,,0.11,0.07,0.77,0.41,,0.08,0.13,74500.0,0.06,0.05,0.1,0.14
868,NH2010,0.05,0.16,0.1,0.06,0.73,0.39,,0.07,0.12,76500.0,0.05,0.06,0.1,0.15
869,NH2011,0.06,,0.12,0.05,0.73,0.39,,0.06,0.16,79800.0,0.04,0.06,0.11,0.15
870,NH2012,0.06,,0.16,0.05,0.7,0.39,,0.05,0.15,79000.0,0.03,0.06,0.1,0.14
871,NH2013,0.05,0.19,0.1,0.06,0.7,0.35,,0.06,0.15,75600.0,0.04,0.05,0.1,0.15
872,NH2014,0.05,0.18,0.13,0.07,0.71,0.33,,0.05,0.15,80400.0,0.03,0.05,0.07,0.1
873,NH2015,0.05,0.17,0.11,0.06,0.72,0.26,,0.03,0.12,86900.0,0.02,0.04,0.08,0.1
874,NH2016,0.03,0.17,0.08,0.07,0.73,0.25,,0.03,0.13,88400.0,0.02,0.05,0.08,0.1
875,NH2017,0.05,0.18,0.1,0.07,0.72,0.26,,0.03,0.11,94100.0,0.02,0.05,0.08,0.09
876,NH2018,0.06,0.16,0.11,0.07,0.73,0.27,,0.03,0.12,97000.0,0.02,0.04,0.08,0.11
877,NH2019,0.03,0.15,0.07,0.08,0.76,0.24,,0.02,0.13,102400.0,0.01,0.05,0.07,0.09
878,NH2020,,,,,,,,0.06,,,0.05,,,
879,NH2021,0.05,0.15,0.09,0.06,0.75,0.24,,0.05,0.1,114900.0,0.03,0.04,0.07,0.1
880,NH2022,0.04,0.15,0.07,0.06,0.76,0.25,0.19,0.03,0.1,120000.0,0.02,0.04,0.07,0.1
881,NH2023,0.05,0.14,0.08,0.07,0.77,0.26,,0.03,0.1,122300.0,0.02,0.03,0.05,0.07
882,NH2024,0.03,0.14,0.07,,,,,0.03,,131900.0,0.02,,,
883,NJ2000,0.05,,0.1,0.1,,,0.26,,,,,,,
884,NJ2001,0.04,,0.11,0.11,,,0.27,,,,,,,
885,NJ2002,0.04,,0.11,0.11,,,0.29,,,,,,,
886,NJ2003,0.06,,0.12,0.1,,,0.27,,,,,,,
887,NJ2004,0.05,,0.12,0.11,,,0.28,,,,,,,
888,NJ2005,0.06,0.11,0.12,0.1,,0.43,0.28,,,76100.0,,,,
889,NJ2006,0.05,,0.12,0.09,0.69,0.45,0.28,,,79100.0,,,,
