,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,16 to 19,16 to 24,20 to 24
1050,OR2017,0.06,0.27,0.16,0.15,0.62,0.32,,0.05,0.21,70400.0,0.04,0.06,0.12,0.16
1051,OR2018,0.07,0.27,0.16,0.17,0.61,0.32,,0.05,0.2,76800.0,0.03,0.07,0.11,0.15
1052,OR2019,0.06,0.23,0.13,0.14,0.64,0.29,,0.04,0.18,81200.0,0.03,0.08,0.12,0.15
1053,OR2020,,,,,,,,0.07,,,0.06,,,
1054,OR2021,0.06,0.31,0.14,0.14,0.66,0.31,,0.06,0.16,86600.0,0.04,0.07,0.13,0.18
1055,OR2022,0.06,0.29,0.14,0.14,0.65,0.3,0.27,0.03,0.17,92000.0,0.02,0.06,0.11,0.15
1056,OR2023,0.06,0.3,0.14,0.14,0.66,0.32,,0.03,0.18,96000.0,0.02,0.07,0.11,0.15
1057,OR2024,0.07,0.28,0.13,,,,,0.04,,109800.0,0.02,,,
1058,PA2000,0.06,,0.15,0.07,,,0.28,,,,,,,
1059,PA2001,0.07,,0.15,0.07,,,0.29,,,,,,,
1060,PA2002,0.07,,0.15,0.06,,,0.32,,,,,,,
1061,PA2003,0.08,,0.16,0.07,,,0.31,,,,,,,
1062,PA2004,0.08,,0.17,0.06,,,0.32,,,,,,,
1063,PA2005,0.08,0.18,0.17,0.06,,0.33,0.32,,,56400.0,,,,
1064,PA2006,0.08,,0.17,0.06,0.73,0.34,0.31,,,58900.0,,,,
1065,PA2007,0.08,,0.16,0.06,0.73,0.34,0.33,0.04,,61200.0,0.03,,,
1066,PA2008,0.07,0.2,0.17,0.06,0.72,0.34,,0.05,0.18,62700.0,0.04,0.06,0.11,0.15
1067,PA2009,0.08,,0.17,0.06,0.71,0.34,,0.09,0.18,62100.0,0.07,0.08,0.13,0.18
1068,PA2010,0.08,0.26,0.19,0.06,0.7,0.35,,0.1,0.18,61100.0,0.08,0.07,0.13,0.18
1069,PA2011,0.09,,0.2,0.06,0.69,0.35,,0.08,0.18,63100.0,0.06,0.07,0.13,0.19
1070,PA2012,0.09,,0.2,0.07,0.68,0.33,,0.09,0.19,64700.0,0.07,0.07,0.13,0.18
1071,PA2013,0.09,0.28,0.19,0.07,0.67,0.32,,0.07,0.2,66200.0,0.06,0.06,0.13,0.18
1072,PA2014,0.09,0.27,0.19,0.07,0.67,0.32,,0.08,0.2,68100.0,0.05,0.07,0.13,0.17
1073,PA2015,0.09,0.27,0.19,0.08,0.67,0.3,,0.06,0.19,70400.0,0.05,0.05,0.12,0.16
1074,PA2016,0.08,0.28,0.19,0.07,0.67,0.29,,0.06,0.19,71700.0,0.05,0.06,0.11,0.15
1075,PA2017,0.08,0.26,0.17,0.08,0.68,0.27,,0.06,0.19,76500.0,0.04,0.06,0.11,0.16
1076,PA2018,0.08,0.27,0.17,0.07,0.68,0.27,,0.06,0.19,77100.0,0.04,0.06,0.11,0.14
1077,PA2019,0.08,0.26,0.17,0.08,0.68,0.27,,0.04,0.2,80700.0,0.03,0.05,0.1,0.13
1078,PA2020,,,,,,,,0.1,,,0.08,,,
1079,PA2021,0.09,0.28,0.17,0.08,0.71,0.25,,0.07,0.16,88300.0,0.06,0.06,0.12,0.16
1080,PA2022,0.07,0.28,0.15,0.08,0.72,0.25,0.25,0.05,0.18,97400.0,0.04,0.06,0.1,0.13
1081,PA2023,0.08,0.29,0.16,0.08,0.72,0.26,,0.04,0.19,95400.0,0.03,0.05,0.1,0.14
1082,PA2024,0.07,0.28,0.15,,,,,0.04,,104300.0,0.03,,,
1083,RI2000,0.09,,0.16,0.08,,,0.34,,,,,,,
1084,RI2001,0.09,,0.18,0.06,,,0.32,,,,,,,
1085,RI2002,0.08,,0.15,0.09,,,0.35,,,,,,,
1086,RI2003,0.07,,0.17,0.09,,,0.33,,,,,,,
1087,RI2004,0.11,,0.21,0.06,,,0.37,,,,,,,
1088,RI2005,0.1,0.18,0.19,0.08,,0.42,0.36,,,60200.0,,,,
1089,RI2006,0.06,,0.15,0.07,0.66,0.45,0.32,,,62000.0,,,,
1090,RI2007,0.08,,0.17,0.06,0.65,0.44,0.34,0.06,,67600.0,0.04,,,
1091,RI2008,0.07,0.18,0.15,0.06,0.67,0.45,,0.1,0.17,67900.0,0.07,0.07,0.1,0.13
1092,RI2009,0.08,,0.17,0.07,0.64,0.46,,0.13,0.17,65700.0,0.1,0.08,0.12,0.15
1093,RI2010,0.08,0.28,0.19,0.07,0.61,0.45,,0.14,0.17,65000.0,0.1,0.05,0.1,0.15
1094,RI2011,0.11,,0.22,0.08,0.59,0.43,,0.15,0.18,63700.0,0.11,0.07,0.11,0.14
1095,RI2012,0.09,,0.19,0.08,0.6,0.4,,0.14,0.17,68000.0,0.11,0.06,0.09,0.12
1096,RI2013,0.09,0.31,0.22,0.07,0.57,0.43,,0.12,0.19,65000.0,0.09,0.06,0.11,0.15
1097,RI2014,0.09,0.31,0.2,0.08,0.58,0.42,,0.09,0.21,61600.0,0.06,0.07,0.11,0.13
1098,RI2015,0.08,0.28,0.19,0.07,0.57,0.35,,0.06,0.2,70100.0,0.04,0.07,0.1,0.12
1099,RI2016,0.08,0.27,0.17,0.08,0.58,0.32,,0.06,0.19,71900.0,0.04,0.03,0.08,0.12
1100,RI2017,0.05,0.28,0.17,0.09,0.59,0.33,,0.06,0.18,80000.0,0.03,0.06,0.08,0.1
1101,RI2018,0.08,0.28,0.18,0.08,0.6,0.35,,0.04,0.15,77100.0,0.03,0.03,0.09,0.15
1102,RI2019,0.07,0.25,0.14,0.09,0.63,0.29,,0.03,0.18,82300.0,0.02,0.05,0.09,0.12
1103,RI2020,,,,,,,,0.09,,,0.08,,,
1104,RI2021,0.07,0.27,0.15,0.08,0.65,0.33,,0.06,0.15,90300.0,0.05,0.03,0.08,0.13
1105,RI2022,0.06,0.22,0.12,0.1,0.68,0.29,0.22,0.05,0.16,104400.0,0.03,0.03,0.08,0.12
1106,RI2023,0.07,0.24,0.13,0.09,0.67,0.31,,0.04,0.15,104500.0,0.02,0.04,0.06,0.08
1107,RI2024,0.09,0.26,0.16,,,,,0.05,,104000.0,0.03,,,
1108,SC2000,0.09,,0.19,0.08,,,0.31,,,,,,,
1109,SC2001,0.08,,0.2,0.09,,,0.33,,,,,,,
1110,SC2002,0.1,,0.2,0.07,,,0.36,,,,,,,
1111,SC2003,0.09,,0.19,0.07,,,0.36,,,,,,,
1112,SC2004,0.1,,0.23,0.09,,,0.35,,,,,,,
1113,SC2005,0.11,0.24,0.23,0.08,,0.32,0.36,,,46100.0,,,,
1114,SC2006,0.1,,0.22,0.08,0.66,0.31,0.36,,,47500.0,,,,
1115,SC2007,0.1,,0.21,0.08,0.65,0.3,0.34,0.06,,51300.0,0.04,,,
1116,SC2008,0.1,0.24,0.22,0.09,0.66,0.31,,0.09,0.24,52800.0,0.06,0.08,0.15,0.21
1117,SC2009,0.12,,0.24,0.08,0.63,0.34,,0.14,0.24,48100.0,0.1,0.1,0.17,0.23
1118,SC2010,0.13,0.33,0.26,0.1,0.62,0.35,,0.11,0.24,47800.0,0.09,0.09,0.16,0.23
1119,SC2011,0.13,,0.28,0.09,0.61,0.36,,0.1,0.25,48800.0,0.09,0.11,0.18,0.23
1120,SC2012,0.13,,0.27,0.09,0.6,0.32,,0.1,0.26,48400.0,0.07,0.1,0.16,0.21
1121,SC2013,0.13,0.34,0.27,0.09,0.6,0.32,,0.09,0.28,50600.0,0.06,0.08,0.15,0.2
1122,SC2014,0.14,0.33,0.27,0.1,0.59,0.32,,0.08,0.27,52000.0,0.05,0.07,0.14,0.19
1123,SC2015,0.11,0.32,0.24,0.08,0.6,0.29,,0.07,0.26,55300.0,0.05,0.07,0.15,0.2
1124,SC2016,0.12,0.31,0.23,0.09,0.61,0.28,,0.05,0.25,56100.0,0.04,0.07,0.12,0.17
1125,SC2017,0.1,0.29,0.23,0.1,0.61,0.28,,0.04,0.27,58000.0,0.03,0.07,0.12,0.17
1126,SC2018,0.1,0.27,0.23,0.1,0.62,0.27,,0.04,0.25,63200.0,0.03,0.08,0.13,0.17
1127,SC2019,0.09,0.24,0.2,0.1,0.65,0.26,,0.03,0.25,66700.0,0.02,0.08,0.12,0.16
1128,SC2020,,,,,,,,0.05,,,0.04,,,
1129,SC2021,0.1,0.27,0.2,0.09,0.68,0.25,,0.04,0.22,71900.0,0.03,0.08,0.13,0.16
1130,SC2022,0.09,0.25,0.19,0.1,0.7,0.26,0.28,0.02,0.24,77600.0,0.02,0.09,0.12,0.15
1131,SC2023,0.1,0.24,0.19,0.09,0.71,0.26,,0.03,0.25,81000.0,0.03,0.08,0.12,0.15
1132,SC2024,0.1,0.24,0.18,,,,,0.05,,88800.0,0.03,,,
1133,SD2000,0.08,,0.14,0.07,,,0.21,,,,,,,
1134,SD2001,0.05,,0.14,0.06,,,0.21,,,,,,,
1135,SD2002,0.07,,0.14,0.06,,,0.24,,,,,,,
1136,SD2003,0.07,,0.14,0.07,,,0.24,,,,,,,
1137,SD2004,0.07,,0.15,0.05,,,0.25,,,,,,,
1138,SD2005,0.08,0.19,0.18,0.11,,0.22,0.3,,,51100.0,,,,
1139,SD2006,0.08,,0.17,0.11,0.72,0.22,0.29,,,55200.0,,,,
1140,SD2007,0.08,,0.17,0.1,0.69,0.23,0.26,0.04,,51600.0,0.03,,,
1141,SD2008,0.09,0.19,0.18,0.1,0.71,0.25,,0.04,0.25,57800.0,0.03,0.06,0.09,0.11
1142,SD2009,0.08,,0.19,0.09,0.67,0.23,,0.07,0.24,56600.0,0.05,0.07,0.1,0.12
1143,SD2010,0.08,0.24,0.18,0.11,0.71,0.22,,0.06,0.25,56800.0,0.04,0.08,0.12,0.16
1144,SD2011,0.08,,0.18,0.11,0.68,0.25,,0.05,0.25,60900.0,0.04,0.05,0.09,0.13
1145,SD2012,0.09,,0.17,0.11,0.65,0.21,,0.06,0.25,58700.0,0.04,0.04,0.09,0.14
1146,SD2013,0.08,0.28,0.19,0.13,0.67,0.2,,0.05,0.24,57100.0,0.03,0.06,0.1,0.13
1147,SD2014,0.07,0.24,0.18,0.12,0.69,0.21,,0.05,0.23,64400.0,0.03,0.06,0.1,0.13
1148,SD2015,0.09,0.25,0.18,0.11,0.7,0.21,,0.04,0.22,64200.0,0.03,0.06,0.11,0.14
1149,SD2016,0.1,0.24,0.17,0.11,0.69,0.2,,0.03,0.2,72400.0,0.03,0.06,0.09,0.12
1150,SD2017,0.07,0.23,0.17,0.11,0.7,0.18,,0.05,0.2,73000.0,0.04,0.05,0.09,0.12
1151,SD2018,0.08,0.21,0.16,0.11,0.67,0.2,,0.04,0.23,70000.0,0.02,0.05,0.1,0.14
1152,SD2019,0.07,0.2,0.15,0.11,0.71,0.21,,0.03,0.22,75100.0,0.03,0.05,0.1,0.14
1153,SD2020,,,,,,,,0.05,,,0.04,,,
1154,SD2021,0.07,0.21,0.15,0.12,0.73,0.2,,0.04,0.19,83600.0,0.02,0.06,0.1,0.12
1155,SD2022,0.08,0.19,0.15,0.11,0.75,0.2,0.22,0.02,0.18,92100.0,0.01,0.04,0.09,0.14
1156,SD2023,0.06,0.17,0.15,0.12,0.75,0.23,,0.03,0.21,90300.0,0.02,0.07,0.09,0.11
1157,SD2024,0.06,0.14,0.11,,,,,0.02,,101400.0,0.01,,,
1158,TN2000,0.09,,0.2,0.08,,,0.32,,,,,,,
1159,TN2001,0.08,,0.21,0.08,,,0.34,,,,,,,
1160,TN2002,0.09,,0.2,0.1,,,0.34,,,,,,,
1161,TN2003,0.09,,0.2,0.09,,,0.33,,,,,,,
1162,TN2004,0.1,,0.21,0.08,,,0.35,,,,,,,
1163,TN2005,0.1,0.25,0.21,0.09,,0.31,0.36,,,45900.0,,,,
1164,TN2006,0.11,,0.23,0.09,0.66,0.33,0.36,,,47000.0,,,,
1165,TN2007,0.1,,0.23,0.08,0.66,0.33,0.36,0.06,,49400.0,0.04,,,
1166,TN2008,0.09,0.27,0.22,0.09,0.66,0.32,,0.08,0.24,51000.0,0.06,0.09,0.15,0.19
1167,TN2009,0.11,,0.24,0.1,0.65,0.34,,0.13,0.23,49100.0,0.1,0.1,0.17,0.24
1168,TN2010,0.12,0.35,0.26,0.1,0.62,0.37,,0.11,0.23,47000.0,0.09,0.1,0.17,0.23
1169,TN2011,0.12,,0.26,0.1,0.61,0.35,,0.11,0.25,49400.0,0.09,0.09,0.17,0.23
1170,TN2012,0.12,,0.26,0.1,0.61,0.34,,0.11,0.26,50800.0,0.08,0.09,0.16,0.22
1171,TN2013,0.12,0.36,0.27,0.1,0.6,0.32,,0.1,0.26,51000.0,0.08,0.09,0.16,0.22
1172,TN2014,0.12,0.35,0.26,0.11,0.59,0.33,,0.08,0.27,51600.0,0.06,0.09,0.15,0.21
1173,TN2015,0.11,0.32,0.24,0.1,0.59,0.3,,0.07,0.26,52400.0,0.05,0.07,0.13,0.17
1174,TN2016,0.1,0.31,0.23,0.11,0.59,0.28,,0.06,0.25,56500.0,0.04,0.07,0.13,0.18
1175,TN2017,0.09,0.28,0.21,0.1,0.59,0.27,,0.05,0.25,59600.0,0.04,0.07,0.13,0.17
1176,TN2018,0.1,0.28,0.22,0.1,0.61,0.29,,0.04,0.25,62700.0,0.03,0.09,0.14,0.18
1177,TN2019,0.08,0.24,0.2,0.1,0.62,0.26,,0.04,0.24,66400.0,0.03,0.06,0.11,0.15
1178,TN2020,,,,,,,,0.07,,,0.06,,,
1179,TN2021,0.09,0.27,0.18,0.11,0.64,0.26,,0.04,0.21,73300.0,0.03,0.07,0.13,0.18
1180,TN2022,0.09,0.25,0.18,0.11,0.64,0.26,0.28,0.05,0.23,76800.0,0.03,0.07,0.12,0.15
1181,TN2023,0.09,0.22,0.2,0.13,0.64,0.26,,0.04,0.23,82000.0,0.03,0.06,0.11,0.15
1182,TN2024,0.1,0.22,0.19,,,,,0.03,,86600.0,0.02,,,
1183,TX2000,0.09,,0.22,0.22,,,0.32,,,,,,,
1184,TX2001,0.09,,0.21,0.2,,,0.32,,,,,,,
1185,TX2002,0.09,,0.22,0.2,,,0.33,,,,,,,
1186,TX2003,0.1,,0.23,0.19,,,0.33,,,,,,,
1187,TX2004,0.1,,0.23,0.18,,,0.35,,,,,,,
1188,TX2005,0.11,0.23,0.25,0.19,,0.37,0.35,,,45100.0,,,,
1189,TX2006,0.1,,0.24,0.18,0.65,0.37,0.34,,,48100.0,,,,
1190,TX2007,0.1,,0.23,0.18,0.64,0.36,0.33,0.05,,50900.0,0.04,,,
1191,TX2008,0.09,0.22,0.23,0.17,0.64,0.35,,0.06,0.27,53700.0,0.04,0.08,0.14,0.19
1192,TX2009,0.11,,0.24,0.18,0.62,0.36,,0.09,0.27,51000.0,0.06,0.1,0.16,0.2
1193,TX2010,0.11,0.3,0.26,0.2,0.62,0.37,,0.09,0.27,51200.0,0.07,0.09,0.16,0.21
1194,TX2011,0.11,,0.27,0.19,0.61,0.36,,0.09,0.28,52300.0,0.07,0.09,0.15,0.2
1195,TX2012,0.11,,0.26,0.19,0.59,0.34,,0.08,0.28,54200.0,0.06,0.09,0.15,0.2
1196,TX2013,0.11,0.32,0.25,0.19,0.6,0.32,,0.07,0.28,55200.0,0.05,0.09,0.15,0.2
1197,TX2014,0.1,0.3,0.25,0.19,0.59,0.33,,0.06,0.28,57800.0,0.04,0.09,0.14,0.18
1198,TX2015,0.1,0.29,0.23,0.19,0.59,0.32,,0.04,0.27,60400.0,0.03,0.08,0.14,0.18
1199,TX2016,0.09,0.28,0.22,0.19,0.59,0.31,,0.05,0.27,61500.0,0.04,0.08,0.13,0.18
1200,TX2017,0.09,0.27,0.21,0.19,0.6,0.31,,0.05,0.26,65500.0,0.03,0.08,0.13,0.17
1201,TX2018,0.09,0.27,0.21,0.18,0.6,0.32,,0.04,0.26,67400.0,0.03,0.08,0.13,0.16
1202,TX2019,0.09,0.24,0.19,0.18,0.61,0.3,,0.03,0.26,72100.0,0.02,0.08,0.12,0.15
1203,TX2020,,,,,,,,0.08,,,0.06,,,
1204,TX2021,0.09,0.29,0.2,0.18,0.64,0.32,,0.06,0.23,76600.0,0.05,0.08,0.14,0.18
1205,TX2022,0.09,0.28,0.19,0.18,0.65,0.33,0.25,0.04,0.24,82800.0,0.03,0.08,0.13,0.16
1206,TX2023,0.08,0.26,0.18,0.18,0.65,0.33,,0.04,0.24,88800.0,0.03,0.08,0.12,0.15
1207,TX2024,0.08,0.23,0.18,,,,,0.05,,93700.0,0.03,,,
1208,US2000,0.07,,0.17,0.15,,,0.32,,,,,,,
1209,US2001,0.07,,0.17,0.15,,,0.31,,,,,,,
1210,US2002,0.08,,0.18,0.15,,,0.33,,,,,,,
1211,US2003,0.08,,0.18,0.14,,,0.33,,,,,,,
1212,US2004,0.08,,0.18,0.13,,,0.33,,,,,,,
1213,US2005,0.08,0.19,0.19,0.13,,0.37,0.34,,,53600.0,,,,
1214,US2006,0.08,,0.18,0.13,0.66,0.39,0.33,,,56300.0,,,,
1215,US2007,0.08,,0.18,0.13,0.66,0.39,0.33,0.05,,58700.0,0.04,,,
1216,US2008,0.08,0.19,0.18,0.13,0.65,0.39,,0.06,0.21,60900.0,0.05,0.08,0.13,0.17
1217,US2009,0.09,,0.2,0.13,0.63,0.4,,0.11,0.21,58300.0,0.08,0.09,0.14,0.19
1218,US2010,0.1,0.27,0.22,0.14,0.62,0.41,,0.11,0.22,57100.0,0.08,0.09,0.15,0.2
1219,US2011,0.1,,0.23,0.14,0.61,0.4,,0.1,0.22,58000.0,0.08,0.08,0.15,0.19
1220,US2012,0.1,,0.23,0.14,0.6,0.38,,0.09,0.23,59500.0,0.07,0.08,0.14,0.19
1221,US2013,0.1,0.29,0.22,0.14,0.59,0.36,,0.08,0.23,60700.0,0.06,0.08,0.14,0.18
1222,US2014,0.1,0.28,0.22,0.15,0.59,0.35,,0.07,0.23,62100.0,0.05,0.07,0.13,0.17
1223,US2015,0.09,0.28,0.21,0.14,0.59,0.33,,0.06,0.23,64700.0,0.04,0.07,0.12,0.16
1224,US2016,0.09,0.27,0.19,0.14,0.59,0.32,,0.05,0.22,68000.0,0.04,0.07,0.12,0.15
1225,US2017,0.08,0.25,0.18,0.14,0.61,0.31,,0.05,0.22,71400.0,0.04,0.07,0.11,0.15
1226,US2018,0.08,0.24,0.18,0.14,0.61,0.31,,0.04,0.22,74200.0,0.03,0.07,0.11,0.15
1227,US2019,0.07,0.23,0.17,0.14,0.62,0.3,,0.04,0.22,78000.0,0.03,0.06,0.11,0.14
1228,US2020,,,,,,,,0.08,,,0.07,,,
1229,US2021,0.08,0.27,0.17,0.14,0.65,0.3,,0.06,0.18,84200.0,0.04,0.07,0.12,0.16
1230,US2022,0.08,0.26,0.16,0.14,0.66,0.3,0.26,0.04,0.2,91100.0,0.03,0.07,0.11,0.14
1231,US2023,0.08,0.25,0.16,0.14,0.66,0.3,,0.04,0.2,95700.0,0.03,0.07,0.11,0.14
1232,US2024,0.08,0.24,0.15,,,,,0.04,,101200.0,0.03,,,
1233,UT2000,0.03,,0.1,0.12,,,0.26,,,,,,,
1234,UT2001,0.04,,0.09,0.12,,,0.26,,,,,,,
1235,UT2002,0.05,,0.14,0.11,,,0.3,,,,,,,
1236,UT2003,0.05,,0.12,0.11,,,0.26,,,,,,,
1237,UT2004,0.05,,0.13,0.14,,,0.26,,,,,,,
1238,UT2005,0.04,0.11,0.11,0.11,,0.32,0.26,,,52000.0,,,,
1239,UT2006,0.05,,0.12,0.13,0.76,0.34,0.25,,,57300.0,,,,
1240,UT2007,0.03,,0.11,0.11,0.75,0.33,0.24,0.02,,61800.0,0.02,,,
1241,UT2008,0.04,0.1,0.11,0.12,0.75,0.35,,0.03,0.22,62200.0,0.02,0.06,0.09,0.11
1242,UT2009,0.05,,0.12,0.1,0.75,0.36,,0.06,0.22,61700.0,0.05,0.09,0.12,0.14
1243,UT2010,0.06,0.18,0.16,0.13,0.72,0.37,,0.08,0.24,59900.0,0.07,0.09,0.14,0.17
1244,UT2011,0.06,,0.16,0.11,0.72,0.37,,0.07,0.24,61300.0,0.06,0.08,0.12,0.15
1245,UT2012,0.06,,0.15,0.13,0.71,0.34,,0.04,0.26,62400.0,0.03,0.08,0.12,0.14
1246,UT2013,0.06,0.17,0.15,0.12,0.7,0.3,,0.04,0.25,65500.0,0.03,0.07,0.12,0.16
1247,UT2014,0.05,0.15,0.13,0.11,0.71,0.28,,0.03,0.24,68200.0,0.02,0.08,0.12,0.14
1248,UT2015,0.05,0.15,0.13,0.11,0.72,0.26,,0.03,0.23,70800.0,0.03,0.06,0.1,0.13
1249,UT2016,0.05,0.14,0.11,0.11,0.73,0.24,,0.04,0.22,73500.0,0.03,0.06,0.09,0.12
1250,UT2017,0.04,0.14,0.11,0.11,0.73,0.24,,0.03,0.2,78600.0,0.03,0.06,0.09,0.12
1251,UT2018,0.04,0.13,0.1,0.12,0.75,0.23,,0.02,0.2,81600.0,0.02,0.05,0.07,0.09
1252,UT2019,0.04,0.11,0.1,0.11,0.76,0.24,,0.02,0.19,87300.0,0.02,0.06,0.08,0.1
1253,UT2020,,,,,,,,0.05,,,0.03,,,
1254,UT2021,0.03,0.12,0.08,0.11,0.77,0.22,,0.03,0.18,93000.0,0.02,0.06,0.09,0.1
1255,UT2022,0.04,0.12,0.08,0.11,0.78,0.23,0.17,0.02,0.17,104100.0,0.02,0.05,0.09,0.11
1256,UT2023,0.04,0.11,0.09,0.11,0.76,0.25,,0.03,0.16,108700.0,0.02,0.07,0.09,0.11
1257,UT2024,0.05,0.1,0.09,,,,,0.03,,116400.0,0.02,,,
1258,VA2000,0.07,,0.13,0.08,,,0.27,,,,,,,
1259,VA2001,0.05,,0.12,0.07,,,0.27,,,,,,,
1260,VA2002,0.06,,0.14,0.08,,,0.27,,,,,,,
1261,VA2003,0.05,,0.12,0.07,,,0.27,,,,,,,
1262,VA2004,0.06,,0.13,0.07,,,0.29,,,,,,,
1263,VA2005,0.06,0.15,0.13,0.06,,0.33,0.28,,,64400.0,,,,
1264,VA2006,0.06,,0.12,0.06,0.69,0.36,0.27,,,65000.0,,,,
1265,VA2007,0.05,,0.13,0.07,0.68,0.37,0.28,0.03,,69000.0,0.02,,,
1266,VA2008,0.06,0.15,0.14,0.07,0.67,0.38,,0.04,0.17,71600.0,0.03,0.07,0.1,0.14
1267,VA2009,0.07,,0.14,0.08,0.66,0.39,,0.09,0.16,70000.0,0.06,0.07,0.12,0.17
1268,VA2010,0.06,0.19,0.14,0.09,0.64,0.37,,0.09,0.17,71600.0,0.07,0.07,0.13,0.17
1269,VA2011,0.07,,0.15,0.08,0.64,0.37,,0.07,0.17,73400.0,0.05,0.07,0.12,0.16
1270,VA2012,0.07,,0.15,0.08,0.63,0.35,,0.06,0.19,73300.0,0.04,0.07,0.12,0.15
1271,VA2013,0.07,0.21,0.16,0.08,0.61,0.34,,0.06,0.19,74100.0,0.04,0.07,0.12,0.16
1272,VA2014,0.07,0.21,0.16,0.09,0.62,0.33,,0.06,0.18,76200.0,0.04,0.06,0.11,0.15
1273,VA2015,0.07,0.21,0.15,0.08,0.61,0.32,,0.05,0.18,79400.0,0.04,0.06,0.1,0.14
1274,VA2016,0.07,0.19,0.14,0.08,0.62,0.3,,0.05,0.17,82300.0,0.03,0.06,0.1,0.13
1275,VA2017,0.07,0.19,0.14,0.09,0.63,0.29,,0.03,0.17,86700.0,0.03,0.05,0.09,0.12
1276,VA2018,0.07,0.18,0.14,0.09,0.63,0.29,,0.03,0.17,88900.0,0.03,0.04,0.09,0.12
1277,VA2019,0.06,0.18,0.13,0.09,0.64,0.28,,0.04,0.18,94500.0,0.02,0.05,0.08,0.11
1278,VA2020,,,,,,,,0.07,,,0.05,,,
1279,VA2021,0.06,0.21,0.13,0.08,0.68,0.27,,0.05,0.15,102100.0,0.03,0.05,0.1,0.13
1280,VA2022,0.06,0.21,0.13,0.1,0.68,0.28,0.21,0.04,0.17,108800.0,0.03,0.07,0.1,0.13
1281,VA2023,0.07,0.21,0.13,0.1,0.68,0.28,,0.03,0.17,110600.0,0.02,0.06,0.09,0.12
1282,VA2024,0.06,0.19,0.12,,,,,0.03,,117000.0,0.02,,,
1283,VT2000,0.04,,0.13,0.06,,,0.28,,,,,,,
1284,VT2001,0.07,,0.15,0.06,,,0.3,,,,,,,
1285,VT2002,0.03,,0.1,0.06,,,0.28,,,,,,,
1286,VT2003,0.04,,0.12,0.06,,,0.27,,,,,,,
1287,VT2004,0.05,,0.12,0.05,,,0.28,,,,,,,
1288,VT2005,0.06,0.17,0.15,0.05,,0.33,0.31,,,56800.0,,,,
1289,VT2006,0.06,,0.13,0.05,0.78,0.35,0.3,,,55500.0,,,,
1290,VT2007,0.05,,0.12,0.06,0.74,0.4,0.31,0.04,,56700.0,0.03,,,
1291,VT2008,0.06,0.17,0.13,0.06,0.75,0.37,,0.05,0.15,61400.0,0.04,0.06,0.09,0.11
1292,VT2009,0.06,,0.13,0.04,0.75,0.36,,0.07,0.17,61400.0,0.05,0.07,0.12,0.16
1293,VT2010,0.07,0.26,0.17,0.05,0.75,0.39,,0.07,0.17,61600.0,0.05,0.04,0.1,0.16
1294,VT2011,0.05,,0.15,0.06,0.72,0.36,,0.07,0.19,61100.0,0.05,0.06,0.1,0.14
1295,VT2012,0.07,,0.15,0.05,0.71,0.36,,0.04,0.21,63400.0,0.03,0.04,0.09,0.13
1296,VT2013,0.07,0.3,0.15,0.07,0.72,0.32,,0.05,0.16,65700.0,0.04,0.05,0.1,0.13
1297,VT2014,0.08,0.28,0.16,0.08,0.7,0.32,,0.05,0.18,66200.0,0.04,0.05,0.1,0.15
1298,VT2015,0.05,0.24,0.13,0.09,0.7,0.3,,0.03,0.17,75100.0,0.02,0.04,0.08,0.11
1299,VT2016,0.08,0.24,0.15,0.08,0.72,0.3,,0.03,0.16,73300.0,0.02,0.07,0.1,0.11
1300,VT2017,0.05,0.21,0.14,0.05,0.72,0.31,,0.04,0.2,68900.0,0.03,0.05,0.08,0.1
1301,VT2018,0.06,0.17,0.12,0.05,0.77,0.26,,0.03,0.17,80700.0,0.02,S,0.08,S
1302,VT2019,0.05,0.19,0.1,0.07,0.75,0.24,,0.02,0.18,82200.0,0.01,0.04,0.06,0.08
1303,VT2020,,,,,,,,0.08,,,0.05,,,
1304,VT2021,0.06,0.2,0.1,0.06,0.78,0.24,,0.04,0.12,88900.0,0.03,0.05,0.09,0.12
1305,VT2022,0.04,0.17,0.12,0.07,0.83,0.25,0.26,0.03,0.17,99700.0,0.02,0.06,0.07,0.08
1306,VT2023,0.04,0.17,0.09,0.06,0.83,0.22,,0.02,0.13,112500.0,0.02,0.06,0.08,0.1
1307,VT2024,0.04,0.17,0.09,,,,,0.03,,110100.0,0.02,,,
1308,WA2000,0.07,,0.16,0.16,,,0.31,,,,,,,
1309,WA2001,0.06,,0.14,0.13,,,0.33,,,,,,,
1310,WA2002,0.06,,0.15,0.14,,,0.38,,,,,,,
1311,WA2003,0.06,,0.14,0.12,,,0.35,,,,,,,
1312,WA2004,0.07,,0.17,0.13,,,0.38,,,,,,,
1313,WA2005,0.06,0.18,0.15,0.11,,0.38,0.36,,,56500.0,,,,
1314,WA2006,0.07,,0.15,0.12,0.67,0.4,0.34,,,60800.0,,,,
1315,WA2007,0.07,,0.15,0.1,0.67,0.41,0.34,0.06,,62400.0,0.04,,,
1316,WA2008,0.06,0.17,0.14,0.1,0.66,0.41,,0.05,0.18,66800.0,0.03,0.08,0.12,0.15
1317,WA2009,0.07,,0.16,0.12,0.64,0.42,,0.09,0.17,64200.0,0.07,0.09,0.15,0.2
1318,WA2010,0.08,0.27,0.18,0.13,0.62,0.43,,0.12,0.18,64000.0,0.09,0.08,0.15,0.21
