,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
870,FL2018,0.736,0.04,0.04,0.46,0.08,25.0,546,0.08,0.09,0.2,0.17,0.75,0.79,0.07,0.17,,1332,19217.0,0.16,0.13,588,221542.0,9829.0
871,FL2019,0.785,0.04,0.04,0.47,0.08,25.0,526,0.08,0.1,0.21,0.21,0.72,0.79,0.07,0.18,0.34,1330,19231.0,0.17,0.13,597,220002.0,9541.0
872,FL2020,0.795,0.04,0.04,0.47,0.08,29.0,588,,0.1,,0.22,0.69,0.77,0.07,0.19,,1214,18202.0,,0.13,715,209671.0,8920.0
873,FL2021,0.79,0.03,0.03,0.47,0.09,31.0,627,0.07,0.12,0.19,0.25,0.71,0.78,0.06,0.23,0.39,1268,19460.0,0.15,0.13,784,216260.0,8093.0
874,FL2022,0.731,0.02,0.02,0.46,0.1,30.0,617,0.07,0.13,0.17,0.26,0.72,0.79,0.07,0.23,,1341,20354.0,0.14,0.13,736,224433.0,8139.0
875,FL2023,0.763,0.02,0.02,0.46,0.11,29.0,656,0.08,,,,,,,,N.A.,1336,20003.0,0.13,0.13,721,221410.0,8108.0
876,FL2024,,,,,,,,0.08,,,,,,,,,,,,,,,
877,GA1990,,,,0.328,,,488,,,,,,,,,,1392,9747.0,,0.128,467,112666.0,18369.0
878,GA1991,,,,0.346,,,492,,,,,,,,,,1255,9460.0,,0.127,459,110288.0,17896.0
879,GA1992,,,,0.35,,,442,,,,,,,,,,1146,9490.0,,0.125,458,111116.0,17462.0
880,GA1993,,,,0.358,,,488,,,,,,,,,,1153,9653.0,,0.125,444,110622.0,17230.0
881,GA1994,,,,0.355,,,479,,,,,,,,,,1129,9557.0,,0.118,450,111011.0,17337.0
882,GA1995,,,,0.352,,,491,,,,,,,,,,1057,9835.0,,0.117,492,112282.0,17727.0
883,GA1996,,,,0.35,,,477,,,,,,,,,,1050,9729.0,,0.114,562,114043.0,17648.0
