,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
1014,HI2007,0.875,N.C.,N.C.,0.369,N.C.,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1015,HI2007,0.875,N.C.,N.C.,0.369,0.038,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1016,HI2007,0.875,N.C.,0.056,0.369,N.C.,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1017,HI2007,0.875,N.C.,0.056,0.369,0.038,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1018,HI2007,0.875,0.056,N.C.,0.369,N.C.,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1019,HI2007,0.875,0.056,N.C.,0.369,0.038,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1020,HI2007,0.875,0.056,0.056,0.369,N.C.,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1021,HI2007,0.875,0.056,0.056,0.369,0.038,24.0,44,,,,0.13,0.87,0.77,0.11,0.18,,124,1526.0,,0.124,32,19134.0,1610.0
1022,HI2008,0.774,N.C.,N.C.,0.379,N.C.,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1023,HI2008,0.774,N.C.,N.C.,0.379,0.031,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1024,HI2008,0.774,N.C.,0.047,0.379,N.C.,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1025,HI2008,0.774,N.C.,0.047,0.379,0.031,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1026,HI2008,0.774,0.047,N.C.,0.379,N.C.,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1027,HI2008,0.774,0.047,N.C.,0.379,0.031,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1028,HI2008,0.774,0.047,0.047,0.379,N.C.,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1029,HI2008,0.774,0.047,0.047,0.379,0.031,22.0,34,0.04,,,,,,,,,108,1574.0,,0.128,37,19484.0,1625.0
1030,HI2009,0.473,N.C.,N.C.,0.38,N.C.,26.0,34,0.03,,0.07,,,,,,0.31,116,1592.0,0.05,0.13,48,18887.0,1547.0
1031,HI2009,0.473,N.C.,N.C.,0.38,0.03,26.0,34,0.03,,0.07,,,,,,0.31,116,1592.0,0.05,0.13,48,18887.0,1547.0
1032,HI2009,0.473,N.C.,0.05,0.38,N.C.,26.0,34,0.03,,0.07,,,,,,0.31,116,1592.0,0.05,0.13,48,18887.0,1547.0
1033,HI2009,0.473,N.C.,0.05,0.38,0.03,26.0,34,0.03,,0.07,,,,,,0.31,116,1592.0,0.05,0.13,48,18887.0,1547.0
1034,HI2009,0.473,0.05,N.C.,0.38,N.C.,26.0,34,0.03,,0.07,,,,,,0.31,116,1592.0,0.05,0.13,48,18887.0,1547.0
