,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: O,safe1112: P,safe1112: S,safe1415: 1,safe1415: 2,safe161718: 1,safe161718: 2,safe1920: 1,safe1920: 2,safe212223
44,AL2009,0.07,0.33,3124.0,2885.0,629.0,1582,7,47,N.R.,3219,N.R.,4115,1928,,,,,0.06,0.14,0.07
45,AL2010,0.07,0.31,3063.0,2770.0,606.0,1271,8,17,N.R.,3453,N.R.,4581,2076,,,,,0.06,0.14,0.06
46,AL2011,0.07,0.31,3262.0,3143.0,440.0,1297,8,39,N.R.,3156,N.R.,4207,1853,,,,,0.06,0.14,0.06
47,AL2012,0.07,0.32,2763.0,3346.0,587.0,1156,8,25,75,3565,N.R.,4638,2046,,,,,0.05,0.14,0.06
48,AL2013,0.06,0.33,3077.0,2911.0,518.0,1076,8,32,N.R.,3300,N.R.,4369,1778,,,,,0.05,0.15,0.05
49,AL2014,,,3243.0,3035.0,548.0,1027,8,22,58,3476,N.R.,4074,1755,,,,,0.05,0.14,
50,AL2015,0.04,0.34,3605.0,3244.0,512.0,1020,8,21,67,3262,N.R.,4392,1463,,,,,0.05,0.14,0.04
51,AL2016,0.04,0.31,3772.0,3329.0,503.0,1075,9,34,77,4075,N.R.,5364,1552,,,,,0.05,0.16,0.04
52,AL2017,0.05,0.3,4095.0,3382.0,504.0,1268,10,41,91,4643,N.R.,5685,1583,,,,,0.06,0.19,0.04
53,AL2018,0.04,0.28,4062.0,3582.0,712.0,1346,11,38,76,5072,N.R.,6324,1981,,,,,0.06,0.18,0.03
54,AL2019,,,3985.0,3958.0,738.0,1688,11,24,86,4539,N.R.,6249,2035,,,,,,,
55,AL2020,,,3504.0,3603.0,816.0,1761,11,21,81,4967,N.R.,5712,2164,,,,,,,
56,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
57,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
58,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
59,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
60,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
61,AL2021,0.03,0.24,3631.0,3741.0,794.0,1675,10,19,79,5011,N.R.,6062,2103,0.01,0.11,0.01,0.11,0.05,0.18,0.08
62,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
63,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
64,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
65,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
66,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
67,AL2022,0.04,0.28,3350.0,3278.0,,1598,10,14,75,4768,N.R.,6143,2001,0.02,0.11,0.02,0.11,0.05,0.18,0.09
68,AL2023,,,3685.0,3326.0,,1573,10,16,87,5020,N.R.,6264,1781,,,,,,,
69,AL2024,,,,,,,10,,,,,,,,,,,,,
70,AR2000,,,3542.0,3679.0,325.0,821,10,70,315,3882,116,1745,2128,,,,,,,
71,AR2001,,,3347.0,3244.0,362.0,804,10,84,279,3295,35,1967,2131,,,,,,,
72,AR2002,0.11,0.4,3350.0,3196.0,297.0,983,10,64,248,3620,72,1660,2375,,,,,0.08,0.16,
73,AR2003,0.11,0.4,3561.0,3411.0,385.0,984,10,106,254,3936,294,1519,2128,,,,,0.08,0.16,
74,AR2004,0.1,0.37,3486.0,3265.0,331.0,949,10,103,284,4110,352,1508,2052,,,,,0.08,0.14,
75,AR2005,0.12,0.38,3615.0,3372.0,316.0,1191,11,171,341,4536,6,1809,2402,,,,,0.08,0.14,0.11
76,AR2006,0.11,0.4,3924.0,3621.0,395.0,945,12,165,588,5179,6,2022,2431,,,,,0.07,0.15,0.1
77,AR2007,0.09,0.39,4086.0,3788.0,404.0,780,13,229,727,5918,10,1902,2275,,,,,0.06,0.15,0.08
78,AR2008,0.09,0.38,3772.0,3674.0,505.0,872,12,202,823,5341,6,1846,2328,,,,,0.07,0.16,0.08
79,AR2009,0.08,0.34,4161.0,3917.0,601.0,850,14,235,883,6508,4,2412,2409,,,,,0.06,0.14,0.07
80,AR2010,0.07,0.31,3990.0,3711.0,595.0,876,16,97,873,7436,2,2299,2330,,,,,0.06,0.14,0.06
81,AR2011,0.08,0.33,3856.0,3774.0,591.0,1414,15,99,818,7276,6,1929,2194,,,,,0.06,0.15,0.06
82,AR2012,0.07,0.36,3846.0,3802.0,703.0,1023,15,138,882,7039,4,1972,2234,,,,,0.06,0.14,0.06
83,AR2013,0.06,0.37,3798.0,3614.0,691.0,994,14,101,1027,6155,6,1872,2153,,,,,0.06,0.16,0.06
84,AR2014,,,3542.0,3405.0,743.0,1034,13,113,1058,4848,4,1912,1924,,,,,0.06,0.17,
85,AR2015,0.05,0.33,4065.0,3213.0,740.0,1122,13,123,1206,5026,7,2009,1873,,,,,0.06,0.15,0.04
86,AR2016,0.05,0.32,4103.0,3405.0,758.0,1198,14,118,1311,5393,4,2002,1962,,,,,0.06,0.16,0.04
87,AR2017,0.05,0.3,3778.0,3770.0,971.0,1330,13,150,1450,4955,3,2020,1769,,,,,0.06,0.16,0.04
88,AR2018,0.05,0.3,3123.0,3578.0,1001.0,1351,12,106,1419,3961,4,2473,1683,,,,,0.06,0.16,0.04
89,AR2019,,,3071.0,3107.0,984.0,1182,12,90,1434,4223,2,2011,1603,,,,,,,
90,AR2020,,,3106.0,2882.0,777.0,1142,13,175,218,6352,32,1789,1741,,,,,,,
91,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
92,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
93,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
94,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
95,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
96,AR2021,0.03,0.27,2964.0,2655.0,768.0,1232,14,142,N.R.,6810,214,1720,1750,0.02,0.11,0.02,0.11,0.06,0.21,0.09
97,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
98,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
99,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
100,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
101,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
102,AR2022,0.04,0.26,2336.0,2836.0,,1213,13,184,N.R.,6034,262,1568,1832,0.02,0.13,0.02,0.13,0.07,0.23,0.09
103,AR2023,,,2276.0,2455.0,,1169,11,148,N.R.,5271,103,1435,1611,,,,,,,
104,AR2024,,,,,,,9,,,,,,,,,,,,,
105,AZ2000,,,4644.0,5056.0,853.0,2340,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
106,AZ2001,,,4515.0,4729.0,938.0,2507,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
107,AZ2002,0.12,0.41,5049.0,4778.0,793.0,1649,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.08,0.15,
108,AZ2003,0.12,0.43,6208.0,4796.0,839.0,1676,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.08,0.15,
109,AZ2004,0.12,0.44,7173.0,5108.0,729.0,2124,5,118,N.R.,5606,N.R.,1826,569,,,,,0.08,0.13,
110,AZ2005,0.11,0.41,7546.0,6358.0,1012.0,2478,4,87,N.R.,4628,N.R.,1619,476,,,,,0.07,0.14,0.09
111,AZ2006,0.1,0.38,7388.0,7171.0,1400.0,2634,3,72,N.R.,3237,N.R.,1282,389,,,,,0.06,0.15,0.08
