,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
653,El Paso2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
654,El Paso2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
655,El Paso2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,
656,El Paso2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
657,El Paso2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
658,El Paso2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
659,El Paso2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
660,El Paso2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
661,El Paso2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
662,El Paso2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
663,El Paso2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
664,El Paso2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
665,El Paso2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
666,El Paso2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
667,El Paso2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
668,FL1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029.0,9619.0,1953.0,661.0,15262.0,,,
669,FL1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271.0,10147.0,1382.0,618.0,15418.0,,,
670,FL1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.0,10397.0,621.0,1031.0,16122.0,,,
671,FL1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4681.0,11643.0,2251.0,1112.0,19687.0,,,
672,FL1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6987.0,12617.0,834.0,1295.0,21733.0,,,
673,FL1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6759.0,13804.0,1016.0,1562.0,23141.0,,,
674,FL1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7512.0,16696.0,1669.0,1014.0,26891.0,,,
675,FL1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7874.0,18403.0,1074.0,1301.0,28652.0,,,
676,FL1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8627.0,18228.0,1606.0,1356.0,29817.0,,,
677,FL1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8958.0,18302.0,1627.0,1407.0,30294.0,,,
678,FL1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9989.0,19667.0,974.0,1621.0,32251.0,,,
679,FL1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11277.0,20583.0,1126.0,1624.0,34610.0,,,
680,FL2000,,,,,,,,,0.05,,,,0.09,0.18,0.06,0.52,0.16,N.A.,N.A.,N.A.,N.A.,,,,,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,11214.0,20513.0,1096.0,2306.0,35129.0,0.12,0.12,0.36
681,FL2001,,,,,,,,,0.05,,,,0.1,0.19,0.07,0.5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11902.0,20524.0,709.0,2471.0,35606.0,0.15,0.15,0.37
682,FL2002,,,,,,,,,0.06,,,,0.09,0.18,0.07,0.52,0.15,,,,,0.72,0.29,0.28,0.71,0.84,0.32,0.16,0.68,,,,,,,,,0.86,0.33,0.14,0.67,,,,,,13729.0,22581.0,818.0,4714.0,41842.0,0.14,0.14,0.37
683,FL2003,,,,,,,,,0.06,0.045,0.065,0.055,0.1,0.18,0.07,0.51,0.13,0.62,0.23,0.38,0.77,0.68,0.27,0.32,0.73,,,,,0.76,0.31,0.24,0.69,,,,,,,,,0.21,,,,,13060.0,23485.0,1676.0,6005.0,44226.0,0.14,0.14,0.38
684,FL2004,,,,,,,,,0.06,,,,0.1,0.19,0.07,0.51,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13743.0,23680.0,1347.0,6771.0,45541.0,0.14,0.14,0.37
685,FL2005,0.1,0.17,0.09,0.5,0.15,,,,0.06,,,,0.1,0.19,0.07,0.5,0.14,0.65,0.26,0.35,0.74,0.66,0.25,0.34,0.75,,,,,0.82,0.37,0.18,0.63,0.68,0.26,0.32,0.74,,,,,0.2,,,,,13981.0,24608.0,1150.0,6888.0,46627.0,0.15,0.15,0.38
686,FL2006,0.1,0.17,0.09,0.5,0.15,,,,0.05,,,,0.1,0.18,0.06,0.51,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14469.0,23666.0,1603.0,7218.0,46956.0,0.15,0.15,0.4
687,FL2007,0.1,0.17,0.09,0.5,0.14,,,,0.05,0.033,0.048,0.04,0.1,0.19,0.06,0.5,0.14,0.68,0.27,0.32,0.73,0.71,0.28,0.29,0.72,0.88,0.36,0.12,0.64,0.86,0.4,0.14,0.6,,,,,,,,,0.18,,,,,14735.0,22820.0,1078.0,7078.0,45711.0,0.16,0.16,0.42
688,FL2008,0.1,0.18,0.09,0.5,0.13,,,,0.05,,,,0.1,0.19,0.06,0.51,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,23034.0,867.0,7162.0,46063.0,0.17,,0.42
689,FL2009,0.1,0.17,0.09,0.5,0.14,,,,0.05,,,,0.1,0.18,0.07,0.51,0.13,0.7,0.29,0.3,0.71,0.76,0.32,0.24,0.68,,,,,0.86,0.4,0.14,0.6,,,,,,,,,0.19,0.75,0.51,0.58,0.72,15439.0,23605.0,576.0,6238.0,45858.0,0.18,,0.44
690,FL2010,0.1,0.17,0.1,0.49,0.14,,,,0.05,,,,0.1,0.18,0.07,0.5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15169.0,22804.0,311.0,7698.0,45982.0,0.19,,0.46
691,FL2011,0.11,0.18,0.09,0.49,0.14,4,0.17,0.12,0.05,0.048,0.054,0.051,0.11,0.19,0.07,0.5,0.13,0.68,0.28,0.32,0.72,0.73,0.3,0.27,0.7,,,,,0.84,0.37,0.16,0.63,,,,,,,,,0.2,0.76,0.47,0.5,0.74,15476.0,22891.0,161.0,8867.0,47395.0,0.18,,0.47
692,FL2012,0.11,0.17,0.1,0.49,0.13,,,,0.05,,,,0.11,0.19,0.08,0.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14685.0,22421.0,52.0,8620.0,45778.0,0.18,,0.48
693,FL2013,0.11,0.18,0.1,0.47,0.13,1,0.06,0.05,0.05,,,,0.11,0.2,0.07,0.49,0.12,0.7,0.31,0.3,0.69,0.77,0.33,0.23,0.67,,,,,0.84,0.41,0.16,0.59,,,,,,,,,0.19,0.73,0.42,0.49,0.75,14327.0,22125.0,117.0,9165.0,45734.0,0.17,,0.45
694,FL2014,0.12,0.18,0.11,0.47,0.12,,,,0.05,,,,0.12,0.2,0.08,0.49,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15085.0,22231.0,15.0,9657.0,46988.0,0.16,,0.45
695,FL2015,0.12,0.19,0.11,0.46,0.12,2,0.07,0.06,0.05,,,,0.12,0.21,0.08,0.49,0.1,0.64,0.26,0.36,0.74,0.75,0.3,0.25,0.7,,,,,0.85,0.42,0.15,0.58,,,,,,,,,0.18,0.71,0.45,0.49,0.7,15898.0,21994.0,11.0,9937.0,47840.0,0.14,,0.47
696,FL2016,0.11,0.19,0.11,0.46,0.12,,,,0.05,S,S,0.04,0.12,0.21,0.08,0.49,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14665.0,22070.0,4.0,12369.0,49108.0,0.13,,0.47
697,FL2017,0.12,0.2,0.12,0.45,0.11,21,0.06,0.05,0.05,0.06,S,0.05,0.12,0.22,0.08,0.48,0.1,0.66,0.29,0.34,0.71,0.77,0.35,0.23,0.65,,,,,0.88,0.48,0.12,0.52,,,,,,,,,0.24,0.7,0.41,0.44,0.7,15606.0,21293.0,125.0,12675.0,49699.0,0.13,,0.48
698,FL2018,0.11,0.21,0.13,0.44,0.11,,,,0.05,S,S,0.03,0.11,0.22,0.09,0.48,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15310.0,20905.0,14.0,9604.0,45833.0,0.13,,0.47
699,FL2019,0.12,0.21,0.13,0.44,0.1,,,,0.04,0.05,S,0.03,0.12,0.22,0.09,0.48,0.09,0.66,0.31,0.34,0.69,0.72,0.34,0.28,0.66,,,,,0.87,0.48,0.13,0.52,,,,,,,,,0.25,0.72,0.48,0.5,0.7,15834.0,20351.0,5.0,13966.0,50156.0,0.12,,0.47
700,FL2020,,,,,,,,,,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,FL2021,0.12,0.22,0.14,0.42,0.1,,,,0.05,0.06,0.05,0.06,0.11,0.24,0.1,0.47,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12062.0,16720.0,30.0,14504.0,43316.0,0.13,,0.47
702,FL2022,0.11,0.22,0.15,0.42,0.09,,,,0.05,0.07,0.05,0.06,0.11,0.26,0.1,0.44,0.08,0.58,0.23,0.42,0.77,0.69,0.29,0.31,0.71,,,,,0.81,0.41,0.19,0.59,,,,,,,,,0.35,0.72,0.46,0.48,0.73,13273.0,15533.0,4.0,15543.0,43824.0,0.12,,0.47
703,FL2023,0.11,0.22,0.16,0.41,0.1,,,,0.06,,,,0.1,0.26,0.11,0.46,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.48
704,FL2024,,,,,,,,,0.07,,,,0.11,0.26,0.11,0.44,0.08,0.55,0.21,0.45,0.79,0.63,0.25,0.37,0.75,,,,,0.82,0.45,0.18,0.55,,,,,,,,,0.3,0.76,0.56,0.56,0.74,,,,,,,,
705,Fort Worth2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,
706,Fort Worth2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,
707,Fort Worth2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
708,Fort Worth2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,
709,Fort Worth2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
710,Fort Worth2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,
711,Fort Worth2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
712,Fort Worth2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
713,Fort Worth2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,
714,Fort Worth2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
715,Fort Worth2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
716,Fort Worth2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,
717,Fort Worth2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
718,Fort Worth2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
719,Fort Worth2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
720,Fresno2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
721,Fresno2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,
722,Fresno2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
723,Fresno2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,
724,Fresno2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,
725,Fresno2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,
726,Fresno2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,
727,Fresno2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
728,Fresno2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
729,Fresno2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,
730,Fresno2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,
731,Fresno2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
732,Fresno2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,
733,Fresno2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
734,Fresno2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
735,GA1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3249.0,7643.0,916.0,315.0,12123.0,,,
736,GA1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3531.0,8155.0,326.0,361.0,12373.0,,,
737,GA1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105.0,8599.0,197.0,262.0,12163.0,,,
738,GA1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289.0,10226.0,227.0,393.0,14135.0,,,
739,GA1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762.0,11745.0,262.0,440.0,16209.0,,,
740,GA1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670.0,13268.0,240.0,455.0,17633.0,,,
741,GA1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4498.0,14690.0,253.0,419.0,19860.0,,,
742,GA1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6041.0,14294.0,196.0,447.0,20978.0,,,
743,GA1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7928.0,12484.0,160.0,370.0,20942.0,,,
744,GA1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9703.0,11513.0,157.0,516.0,21889.0,,,
745,GA1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9814.0,11450.0,239.0,555.0,22058.0,,,
746,GA1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9769.0,10788.0,280.0,433.0,21270.0,,,
747,GA2000,,,,,,,,,0.03,,,,0.06,0.2,0.07,0.5,0.17,0.54,0.19,0.46,0.81,,,,,,,,,0.57,0.17,0.43,0.83,0.57,0.23,0.43,0.77,,,,,,,,,,10694.0,11480.0,498.0,847.0,23519.0,0.18,0.18,0.26
748,GA2001,,,,,,,,,0.02,,,,0.07,0.21,0.07,0.49,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11172.0,10873.0,681.0,886.0,23612.0,0.2,0.2,0.27
749,GA2002,,,,,,,,,0.02,,,,0.06,0.2,0.07,0.53,0.14,,,,,0.7,0.26,0.3,0.74,0.82,0.25,0.18,0.75,,,,,,,,,0.83,0.23,0.17,0.77,,,,,,11926.0,11561.0,657.0,1150.0,25294.0,0.15,0.15,0.31
750,GA2003,,,,,,,,,0.04,0.051,0.048,0.049,0.06,0.21,0.08,0.5,0.16,0.59,0.22,0.41,0.78,0.69,0.26,0.31,0.74,,,,,0.72,0.27,0.28,0.73,,,,,,,,,0.24,,,,,12697.0,12055.0,125.0,1630.0,26507.0,0.19,0.19,0.32
751,GA2004,,,,,,,,,0.03,,,,0.07,0.2,0.07,0.49,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13257.0,11282.0,73.0,2065.0,26677.0,0.19,0.19,0.29
752,GA2005,0.07,0.18,0.09,0.51,0.16,,,,0.03,,,,0.07,0.22,0.08,0.49,0.14,0.62,0.23,0.38,0.77,0.67,0.25,0.33,0.75,,,,,0.76,0.3,0.24,0.7,0.63,0.25,0.37,0.75,,,,,0.17,,,,,13504.0,11903.0,67.0,2213.0,27687.0,0.18,0.18,0.36
753,GA2006,0.07,0.18,0.09,0.49,0.16,,,,0.03,,,,0.07,0.2,0.07,0.49,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13561.0,12077.0,523.0,2240.0,28401.0,0.17,0.17,0.39
754,GA2007,0.07,0.18,0.09,0.49,0.15,,,,0.03,0.045,0.02,0.032,0.07,0.19,0.08,0.51,0.16,0.64,0.25,0.36,0.75,0.7,0.26,0.3,0.74,0.88,0.29,0.12,0.71,0.79,0.32,0.21,0.68,,,,,,,,,0.18,,,,,14301.0,11523.0,459.0,2072.0,28355.0,0.18,0.18,0.41
755,GA2008,0.07,0.18,0.1,0.5,0.15,,,,0.03,,,,0.07,0.19,0.08,0.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14882.0,11436.0,37.0,2001.0,28356.0,0.19,,0.4
756,GA2009,0.08,0.17,0.1,0.5,0.15,,,,0.03,,,,0.07,0.21,0.08,0.49,0.15,0.67,0.27,0.33,0.73,0.72,0.27,0.28,0.73,,,,,0.78,0.34,0.22,0.66,,,,,,,,,0.17,0.82,0.56,0.57,0.78,14323.0,11723.0,70.0,1972.0,28088.0,0.2,,0.43
757,GA2010,0.07,0.18,0.1,0.5,0.15,,,,0.03,,,,0.07,0.19,0.09,0.49,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13966.0,11786.0,31.0,2946.0,28729.0,0.21,,0.42
758,GA2011,0.08,0.18,0.1,0.49,0.15,26,0.12,0.09,0.03,0.042,0.03,0.036,0.07,0.21,0.08,0.49,0.15,0.68,0.28,0.32,0.72,0.74,0.28,0.26,0.72,,,,,0.8,0.37,0.2,0.63,,,,,,,,,0.18,0.8,0.52,0.52,0.77,13600.0,11752.0,26.0,3289.0,28667.0,0.21,,0.44
759,GA2012,0.08,0.18,0.11,0.48,0.15,,,,0.03,,,,0.08,0.2,0.09,0.49,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13410.0,11889.0,33.0,3434.0,28766.0,0.21,,0.45
760,GA2013,0.08,0.18,0.12,0.48,0.14,16,0.1,0.07,0.03,,,,0.08,0.2,0.09,0.49,0.14,0.68,0.29,0.32,0.71,0.75,0.32,0.25,0.68,,,,,0.81,0.39,0.19,0.61,,,,,,,,,0.17,0.79,0.47,0.47,0.73,13775.0,11758.0,17.0,3464.0,29014.0,0.19,,0.44
761,GA2014,0.08,0.19,0.12,0.48,0.14,,,,0.03,,,,0.08,0.21,0.09,0.49,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13024.0,10949.0,45.0,3673.0,27691.0,0.18,,0.44
762,GA2015,0.08,0.19,0.13,0.47,0.14,42,0.1,0.07,0.03,,,,0.08,0.22,0.09,0.49,0.13,0.67,0.28,0.33,0.72,0.73,0.3,0.27,0.7,,,,,0.78,0.35,0.22,0.65,,,,,,,,,0.19,0.77,0.45,0.47,0.75,13595.0,10662.0,54.0,4064.0,28375.0,0.17,,0.43
763,GA2016,0.09,0.19,0.13,0.46,0.13,,,,0.03,0.05,S,0.04,0.08,0.22,0.1,0.49,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13201.0,10587.0,32.0,5289.0,29109.0,0.15,,0.45
764,GA2017,0.09,0.19,0.13,0.45,0.13,46,0.09,0.07,0.03,0.04,S,0.03,0.08,0.22,0.1,0.49,0.11,0.68,0.31,0.32,0.69,0.76,0.35,0.24,0.65,,,,,0.77,0.35,0.23,0.65,,,,,,,,,0.23,0.78,0.42,0.46,0.73,12464.0,9077.0,79.0,5162.0,26782.0,0.15,,0.44
765,GA2018,0.09,0.2,0.14,0.44,0.13,,,,0.03,0.05,S,0.03,0.08,0.24,0.09,0.49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13092.0,9194.0,46.0,4108.0,26440.0,0.14,,0.45
766,GA2019,0.1,0.19,0.14,0.44,0.13,,,,0.04,0.05,S,0.03,0.08,0.25,0.1,0.48,0.09,0.67,0.31,0.33,0.69,0.72,0.32,0.28,0.68,,,,,0.77,0.36,0.23,0.64,,,,,,,,,0.21,0.8,0.44,0.5,0.78,12546.0,9301.0,145.0,6133.0,28125.0,0.15,,0.45
767,GA2020,,,,,,,,,,0.05,S,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,GA2021,0.09,0.21,0.16,0.43,0.11,,,,0.03,0.05,0.04,0.04,0.09,0.25,0.11,0.46,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7464.0,6719.0,477.0,5025.0,19685.0,0.15,,0.44
769,GA2022,0.09,0.21,0.16,0.42,0.11,,,,0.03,0.05,0.04,0.05,0.09,0.26,0.11,0.46,0.08,0.59,0.24,0.41,0.76,0.69,0.31,0.31,0.69,,,,,0.75,0.34,0.25,0.66,,,,,,,,,0.32,0.79,0.53,0.48,0.75,9962.0,7240.0,60.0,5740.0,22854.0,0.13,,0.46
770,GA2023,0.09,0.21,0.17,0.41,0.12,,,,0.03,,,,0.08,0.26,0.11,0.46,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.44
771,GA2024,,,,,,,,,0.04,,,,0.08,0.27,0.11,0.46,0.08,0.56,0.24,0.44,0.76,0.68,0.31,0.32,0.69,,,,,0.75,0.38,0.25,0.62,,,,,,,,,0.32,0.78,0.47,0.52,0.78,,,,,,,,
772,HI1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,1193.0,3.0,130.0,1588.0,,,
773,HI1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,1201.0,6.0,110.0,1609.0,,,
774,HI1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,1077.0,7.0,108.0,1598.0,,,
775,HI1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,1251.0,11.0,135.0,2003.0,,,
776,HI1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,1440.0,6.0,123.0,2169.0,,,
777,HI1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.0,1492.0,1.0,132.0,2324.0,,,
778,HI1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,1733.0,1.0,123.0,2573.0,,,
779,HI1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,1781.0,4.0,130.0,2667.0,,,
780,HI1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,1139.0,1062.0,139.0,2615.0,,,
781,HI1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,1641.0,8.0,142.0,2595.0,,,
782,HI1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0,1768.0,12.0,238.0,2852.0,,,
783,HI1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.0,1772.0,17.0,221.0,2934.0,,,
784,HI2000,,,,,,,,,0.04,,,,0.1,0.21,0.05,0.57,0.06,0.51,0.16,0.49,0.84,,,,,,,,,0.55,0.14,0.45,0.86,0.51,0.16,0.49,0.84,,,,,,,,,,1023.0,1623.0,14.0,369.0,3029.0,0.11,0.11,0.46
785,HI2001,,,,,,,,,0.05,,,,0.11,0.2,0.05,0.58,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.0,1745.0,22.0,445.0,3333.0,0.14,0.14,0.4
786,HI2002,,,,,,,,,0.05,,,,0.1,0.22,0.05,0.57,0.06,,,,,0.64,0.2,0.36,0.8,0.74,0.18,0.26,0.82,,,,,,,,,0.83,0.22,0.17,0.78,,,,,,1228.0,1593.0,64.0,480.0,3365.0,0.15,0.15,0.38
787,HI2003,,,,,,,,,0.03,0.042,0.044,0.043,0.11,0.23,0.06,0.54,0.07,0.56,0.17,0.44,0.83,0.61,0.22,0.39,0.78,,,,,0.68,0.23,0.32,0.77,,,,,,,,,0.22,,,,,1263.0,1847.0,9.0,566.0,3685.0,0.15,0.15,0.4
788,HI2004,,,,,,,,,0.04,,,,0.12,0.23,0.07,0.51,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,1849.0,64.0,404.0,3606.0,0.13,0.13,0.39
