,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
67,AL2016,294616,183999,195041,426805,540135,560326,15000,1085000,79991,4767,16118,321907,686,34574,642418,42000
68,AL2017,294572,184067,192284,425654,538035,558542,16000,1078000,82284,4536,16394,319743,695,35666,637259,45000
69,AL2018,295520,184863,188399,423817,535995,556604,13000,1076000,84945,4299,16342,317214,669,36819,632311,S
70,AL2019,294274,186724,185516,422213,534091,554636,16000,1069000,87151,4196,16357,315167,646,37871,627339,39000
71,AL2020,297347,201552,195146,435631,552984,576692,,,104965,4229,16669,323967,642,39341,639863,
72,AL2021,294227,202218,197071,434631,552361,575786,16000,1104000,106878,4080,16511,322978,612,40619,636469,39000
73,AL2022,293480,199697,200878,435641,553303,576393,15000,1096000,110221,3949,16610,321543,643,42136,634594,43000
74,AL2023,294447,195540,205780,438151,555589,578329,19000,1111000,114151,3840,16802,320269,718,43716,634422,48000
75,AL2024,295446,193035,207177,439199,556145,578712,22000,1111000,118073,3713,17274,318444,715,44875,631763,
76,AR1990,167225,103404,105204,245100,301750,319183,,,,,,,,,,
77,AR1991,168674,105785,105659,246094,304330,321882,,,,,,,,,,
78,AR1992,172046,109860,108556,247807,310238,328031,,,,,,,,,,
79,AR1993,172944,112684,110133,247713,312778,330696,,,,,,,,,,
80,AR1994,174642,115492,113250,250458,317850,335992,,,,,,,,,,
81,AR1995,177013,117142,117261,256255,324567,343104,,,,,,,,,,
82,AR1996,178547,117350,120492,261523,329549,348363,,,,,,,,,,
83,AR1997,178548,117002,121903,262750,330693,349510,,,,,,,,,,
84,AR1998,180410,116853,121420,264954,332471,351166,,,,,,,,,,
85,AR1999,181127,116307,119657,264849,331679,350261,,,,,,,,,,
86,AR2000,181386,115467,119078,264447,331107,349271,,,32322,4909,5125,140485,647,11055,485835,
87,AR2000-2002,,,,,,,,,,,,,,,,16000
88,AR2001,182026,115588,118577,263415,330842,348764,,,35890,4887,5271,139759,812,11774,481213,
89,AR2001-2003,,,,,,,,,,,,,,,,18000
90,AR2002,182710,117583,117619,260886,330761,348037,,,39894,4848,5489,138215,960,12486,476906,
91,AR2002-2004,,,,,,,,,,,,,,,,19000
92,AR2003,184087,118778,117312,259402,331366,348213,,,44170,4840,5938,137177,1120,13212,473122,
93,AR2004,186610,119437,117697,259422,333017,350149,,,48316,4813,6465,136483,1296,14124,471669,
94,AR2005,189757,118530,120113,261387,336267,353520,13000,659000,53557,4814,7034,136091,1434,15167,471690,27000
95,AR2006,192709,116940,122245,265948,340395,357447,10000,683000,59155,4817,7587,136612,1632,16300,471739,26000
96,AR2007,194941,116015,122746,269035,342685,360052,15000,687000,64070,4974,7979,135363,1805,17488,471058,34000
97,AR2008,197153,116093,121262,271217,344460,361265,11000,692000,68356,5097,8307,134335,1996,18628,469006,30000
98,AR2009,197987,117088,118853,273958,345585,362301,12000,696000,71993,5163,8728,133481,2186,19795,466540,39000
99,AR2010,197402,117968,119277,277003,347625,364025,15000,696000,75454,5312,9054,133314,2438,20897,465181,S
100,AR2011,196278,118897,118501,278031,347859,363848,15000,696000,77324,5187,9403,131815,2608,21623,463747,S
101,AR2012,194486,119892,118419,278528,347482,363843,11000,701000,79112,5230,9902,130724,2667,22447,461243,S
102,AR2013,191702,120150,118862,278524,346535,362703,11000,701000,80243,5115,10230,129747,2828,23397,457678,40000
103,AR2014,191164,119225,119177,277872,345417,362021,10000,696000,81400,5020,10626,128870,3014,24052,454456,43000
104,AR2015,191160,118042,120205,277472,344879,362000,12000,694000,82723,5019,10971,128148,3206,24756,452056,44000
105,AR2016,191450,117851,120508,276645,344636,361818,10000,698000,84241,4960,11469,127390,3489,25539,449366,44000
106,AR2017,190881,118783,119895,276393,344198,361754,9000,700000,86144,5009,11812,126723,3788,26290,446186,38000
107,AR2018,190511,119621,118899,274595,343135,360491,10000,694000,87250,4933,11937,125806,4047,27175,442478,35000
108,AR2019,188719,121348,118708,272542,342155,359162,16000,683000,88504,4887,12001,124938,4235,27753,438999,S
109,AR2020,184512,126801,122094,273150,344231,362326,,,95799,4903,12216,125296,4451,28257,435635,
110,AR2021,181987,126625,123806,272808,343688,361538,9000,695000,96572,4960,12616,124631,4701,28782,432964,35000
111,AR2022,181972,124795,126841,273667,344709,362566,12000,684000,98908,5023,13005,123928,5104,29450,431857,S
112,AR2023,180438,121633,129259,274313,344002,361641,10000,691000,100173,4983,13382,122813,5360,29997,428935,S
113,AR2024,179167,119986,128998,273693,342198,359646,15000,683000,101084,5022,13449,121608,5652,30218,424811,
114,AZ1990,305827,153003,150035,397175,491189,514851,,,,,,,,,,
115,AZ1991,313687,158290,151613,404695,501878,526407,,,,,,,,,,
116,AZ1992,321487,165566,157042,411477,515070,540502,,,,,,,,,,
117,AZ1993,331726,175444,162857,424206,533731,560502,,,,,,,,,,
118,AZ1994,336141,181848,170513,431355,546065,573792,,,,,,,,,,
119,AZ1995,346718,190327,182269,454077,571990,601401,,,,,,,,,,
